Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
RETIRO,40.419683,-3.6879969,MEDIO AMBIENTE,1978045,2023,Los Jerónimos,441633.676043016,4474566.835640219
VILLA DE VALLECAS,40.336444,-3.577083,MEDIO AMBIENTE,"27401592,13",2023,Casco Histórico de Vallecas,450982.8418714711,4465260.082937777
BARAJAS,40.451781,-3.535458,MEDIO AMBIENTE,"67200790,57",2023,Aeropuerto,454596.00351993274,4478040.107438148
BARAJAS,40.4944431,-3.5501484,MEDIO AMBIENTE,"60157464,77",2023,Aeropuerto,453379.8444638532,4482783.2632951
VICÁLVARO,40.38058,-3.5665939,MEDIO AMBIENTE,"18459605,26",2023,Casco Histórico de Vicálvaro,451905.15898407565,4470153.334931835
MORATALAZ,40.40015,-3.637412,MEDIO AMBIENTE,"1487510,12",2023,Fontarrón,445909.4468016891,4472366.503456527
VILLAVERDE,40.334267,-3.6637888,MEDIO AMBIENTE,"2912101,85",2023,Butarque,443616.22937866906,4465070.063276178
VILLA DE VALLECAS,40.33552,-3.58243889,MEDIO AMBIENTE,"6502947,37",2023,Casco Histórico de Vallecas,450527.23767628893,4465160.500843975
VILLA DE VALLECAS,40.33756,-3.5755459,MEDIO AMBIENTE,"4609933,99",2023,Casco Histórico de Vallecas,451114.20860303997,4465383.106211089
CARABANCHEL,40.376885,-3.753343,MEDIO AMBIENTE,"2457633,37",2023,Buenavista,436049.49651254714,4469861.495186264
USERA,40.371319,-3.703703,MEDIO AMBIENTE,"1326173,08",2023,Pradolongo,440258.50462117785,4469208.963933444
RETIRO,40.421115,-3.68054383,MEDIO AMBIENTE,"2381759,03",2023,Los Jerónimos,442267.18742956116,4474720.890690845
VICÁLVARO,40.4021037,-3.6037268,CULTURA,"9439137,39",2023,Casco Histórico de Vicálvaro,448769.45946570265,4472563.294975396
CENTRO,40.411993,-3.6960142,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","30807829,64",2023,Cortes,440946.7988162695,4473718.575726759
ARGANZUELA,40.389342,-3.6906507,PROTECCIÓN Y PROMOCIÓN SOCIAL,"8335857,96",2023,Legazpi,441382.22379196703,4471200.762025337
VILLAVERDE,40.3512974,-3.6816647,CULTURA,"5802759,22",2023,Butarque,442112.3568372549,4466971.945180067
CIUDAD LINEAL,40.440897,-3.6518546,PROTECCIÓN Y PROMOCIÓN SOCIAL,"7856906,35",2023,San Pascual,444717.2102822045,4476898.336212917
CENTRO,40.41175,-3.7067022,INVERSIONES DE CARÁCTER GENERAL,"3266102,7",2023,Embajadores,440039.754287835,4473698.799433435
SAN BLAS-CANILLEJAS,40.448555,-3.6491725,EDUCACIÓN,"4180520,7",2023,San Pascual,444950.92473513033,4477746.6982962275
VILLA DE VALLECAS,40.36707,-3.6164204,CULTURA,"7424443,8",2023,Ensanche de Vallecas,447665.20225619,4468682.0352720795
VILLA DE VALLECAS,40.37928,-3.6150449,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"7370563,4",2023,Casco Histórico de Vallecas,447791.40883042157,4470036.513327782
SAN BLAS-CANILLEJAS,40.42874,-3.6132943,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","6994980,7",2023,Hellín,447978.1023063457,4475525.4928363385
FUENCARRAL-EL PARDO,40.5055069,-3.6980938,CULTURA,"5511255,18",2023,El Goloso,440852.42542399466,4484100.044218374
FUENCARRAL-EL PARDO,40.50394,-3.6782276,CULTURA,"2923748,44",2023,Valverde,442534.30944909336,4483912.984742398
PUENTE DE VALLECAS,40.38884,-3.6533333,INVERSIONES DE CARÁCTER GENERAL,"8774349,65",2023,Palomeras Bajas,444549.0843847676,4471120.968857095
CIUDAD LINEAL,40.414833,-3.6269933,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"5698001,1",2023,Pueblo Nuevo,446805.1412070705,4473989.980679174
SALAMANCA,40.4322265,-3.6707251,CULTURA,"5538844,49",2023,Guindalera,443109.51266962575,4475947.894224474
ARGANZUELA,40.40091,-3.72018992,INFRAESTRUCTURAS,"68542278,56",2023,Imperial,438885.5730332368,4472504.803616683
CARABANCHEL,40.3616093,-3.7560156,CULTURA,"7095564,48",2023,Buenavista,435808.1279287273,4468167.84533169
VILLA DE VALLECAS,40.359382,-3.595714,EDUCACIÓN,"4972014,63",2023,Ensanche de Vallecas,449417.4635525942,4467816.636498998
HORTALEZA,40.4689358,-3.6438566,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"2342014,87",2023,Canillas,445418.20705516083,4480005.670340744
CARABANCHEL,40.36164,-3.7536981,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,5939195,2023,Buenavista,436004.9334130733,4468169.573981868
CHAMARTÍN,40.4829999,-3.6774787,CULTURA,"4416178,04",2023,Castilla,442579.91580149723,4481588.126231595
VILLA DE VALLECAS,40.37932,-3.61512,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"2628151,22",2023,Casco Histórico de Vallecas,447785.06474717386,4470040.997607989
VILLAVERDE,40.346812,-3.7091745,URBANISMO,"3459667,59",2023,"Villaverde Alto, Casco Histórico de Villaverde",439772.1881561849,4466492.433310723
CARABANCHEL,40.373473,-3.7516615,URBANISMO,"4766619,63",2023,Buenavista,436189.019885346,4469481.552089113
VILLA DE VALLECAS,40.36931,-3.633227,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"4707317,69",2023,Casco Histórico de Vallecas,446240.0731966051,4468940.750537489
CIUDAD LINEAL,40.4152664,-3.6266822,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"2043110,2",2023,Pueblo Nuevo,446831.8766181868,4474037.900547244
PUENTE DE VALLECAS,40.3887019,-3.6555218,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"2081934,62",2023,Palomeras Bajas,444363.22299361357,4471107.014705686
PUENTE DE VALLECAS,40.388702,-3.6555218,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"6198860,78",2023,Palomeras Bajas,444363.2230759054,4471107.025805571
TETUÁN,40.46591,-3.708061,EDUCACIÓN,"2460690,2",2023,Valdeacederas,439972.6575454326,4479711.483449205
CENTRO,40.41691,-3.70355008,URBANISMO,"16807389,08",2023,Sol,440311.7583479892,4474269.423234892
SAN BLAS-CANILLEJAS,40.4219366,-3.6212382,OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO,"3752454,3",2023,Arcos,447298.95718343474,4474775.027111822
PUENTE DE VALLECAS - VILLA DE VALLECAS,40.3741,-3.65135769,INFRAESTRUCTURAS,"2373579,94",2023,Casco Histórico de Vallecas,444704.7122410684,4469483.6105731875
FUENCARRAL-EL PARDO,40.49453,-3.706395,PROTECCIÓN Y PROMOCIÓN SOCIAL,"6456940,25",2023,Mirasierra,440139.32527196454,4482887.194883435
HORTALEZA,40.4923517,-3.6105398,CULTURA,"5440086,36",2023,Valdefuentes,448260.5778875878,4482584.778758416
VILLA DE VALLECAS,40.3613,-3.5938878,PROTECCIÓN Y PROMOCIÓN SOCIAL,"4499987,68",2023,Ensanche de Vallecas,449573.9576195381,4468028.488410283
ARGANZUELA,40.391065,-3.6976967,INVERSIONES DE CARÁCTER GENERAL,"15309813,51",2023,Chopera,440785.71119648026,4471396.708500956
RETIRO,40.4042354,-3.6858061,PROTECCIÓN Y PROMOCIÓN SOCIAL,"13614557,83",2023,Pacífico,441806.22846912144,4472850.716079466
RETIRO,40.405725,-3.6713416,INVERSIONES DE CARÁCTER GENERAL,"6333621,28",2023,Pacífico,443034.8722059331,4473006.637970109
SAN BLAS-CANILLEJAS,40.4230284,-3.621095,CULTURA,"2876630,55",2023,Arcos,447311.9571073063,4474896.13085352
MONCLOA-ARAVACA,40.41502,-3.734403,MANTENIMIENTO URBANO,"5732709,54",2023,Casa de Campo,437692.4720030843,4474080.93063599
CENTRO,40.42319,-3.70878751,URBANISMO,"5050434,51",2023,Universidad,439873.0097233495,4474970.051985438
TETUÁN,40.45255,-3.69734223,URBANISMO,"12504299,87",2023,Cuatro Caminos,440869.65803973266,4478221.285181234
VILLA DE VALLECAS,40.382947,-3.6024611,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","3604628,04",2023,Santa Eugenia,448862.3744225354,4470436.192158206
PUENTE DE VALLECAS,40.37787,-3.673897,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1398289,75",2023,Entrevías,442794.47154855466,4469916.410857233
SALAMANCA,40.43808,-3.6744838,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO",7810000,2023,Guindalera,442795.6607694683,4476600.059077082
CHAMARTÍN,40.461339,-3.6687121,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"3963927,48",2023,Nueva España,443304.7240187642,4479178.088084129
BARAJAS,40.47234,-3.57624752,URBANISMO,"8642093,92",2023,Casco Histórico de Barajas,451152.1454412564,4480343.927962615
VILLA DE VALLECAS,40.36126,-3.62726055,INFRAESTRUCTURAS,2912224,2023,Casco Histórico de Vallecas,446740.282473488,4468043.604841272
RETIRO,40.39914,-3.67687697,INFRAESTRUCTURAS,17276810,2023,Pacífico,442559.58069154696,4472279.290343325
VILLAVERDE - USERA,40.36455,-3.69869538,INFRAESTRUCTURAS,5119065,2023,Orcasur,440677.6997487529,4468454.243877607
