Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
ARGANZUELA,40.389342,-3.6906507,PROTECCIÓN Y PROMOCIÓN SOCIAL,"2.679.921,37",2020,Legazpi,441382.22379196703,4471200.762025337
RETIRO,40.4009974,-3.6784228,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"5.279.030,26",2020,Pacífico,442429.9813697228,4472486.465807339
CHAMBERÍ,40.4385953,-3.7083185,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","2.869.875,42",2020,Arapiles,439926.50696430326,4476679.719271531
CARABANCHEL,40.3878601,-3.7395651,PROTECCIÓN Y PROMOCIÓN SOCIAL,"3.658.956,91",2020,Vista Alegre,437229.28714781645,4471069.849441911
MORATALAZ,40.41143,-3.63045,MEDIO AMBIENTE,"10.407.893,00",2020,Marroquina,446509.1741170536,4473614.33669596
VILLAVERDE,40.3512974,-3.6816647,CULTURA,"4.694.880,00",2020,Butarque,442112.3568372549,4466971.945180067
SAN BLAS-CANILLEJAS,40.4263129,-3.6220081,PROTECCIÓN Y PROMOCIÓN SOCIAL,"3.067.650,18",2020,Amposta,447237.064114142,4475261.253409307
PUENTE DE VALLECAS,40.382868,-3.6539887,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","2.025.994,23",2020,Palomeras Bajas,444488.5549819569,4470458.495163604
CIUDAD LINEAL,40.440897645215856,-3.6518546975119777,PROTECCIÓN Y PROMOCIÓN SOCIAL,"7.111.504,20",2020,San Pascual,444717.2025408641,4476898.407892818
SAN BLAS-CANILLEJAS,40.448555,-3.6491725,EDUCACIÓN,"2.232.232,13",2020,San Pascual,444950.92473513033,4477746.6982962275
VILLA DE VALLECAS,40.33576194790312,-3.583661991848277,MEDIO AMBIENTE,"8.066.478,00",2020,Casco Histórico de Vallecas,450423.5230495748,4465188.040806336
VILLA DE VALLECAS,40.33413548479177,-3.5882613083947943,MEDIO AMBIENTE,"4.306.970,81",2020,Casco Histórico de Vallecas,450031.653298217,4465010.0934239905
PUENTE DE VALLECAS,40.3886611,-3.6658291,PROTECCIÓN Y PROMOCIÓN SOCIAL,"2.072.095,98",2020,San Diego,443488.36044984404,4471109.022709831
VILLA DE VALLECAS,40.336444,-3.577083,MEDIO AMBIENTE,"33.703.373,00",2020,Casco Histórico de Vallecas,450982.8418714711,4465260.082937777
VILLA DE VALLECAS,40.365205725985575,-3.594149223122848,MEDIO AMBIENTE,"3.053.600,00",2020,Ensanche de Vallecas,449554.67209524073,4468462.16592469
