Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
USERA,40.38188765547112,-3.698510624050009,CULTURA,"4615872,12",2024,Almendrales,440708.5848419047,4470378.57793423
CARABANCHEL,40.3605429198461,-3.767755364418051,URBANISMO,"4500000,00",2024,Buenavista,434810.28956657054,4468058.063000761
CENTRO,40.412164985570094,-3.693249641658124,CULTURA,"3700000,00",2024,Cortes,441181.5088813506,4473735.822417014
RETIRO,40.414523254123445,-3.694227564418051,URBANISMO,"74350000,00",2024,Cortes,441100.59306833975,4473998.2403292395
VILLAVERDE,40.340555945925374,-3.708109457062052,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,"7612702,82",2024,"Villaverde Alto, Casco Histórico de Villaverde",439857.0833395412,4465797.298145928
CIUDAD LINEAL,40.44011663503319,-3.6506647836513175,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","7350112,54",2024,San Pascual,444817.47938011587,4476810.971791884
CHAMARTÍN,40.447389,-3.669361,MANTENIMIENTO URBANO,"1299999,99",2024,Ciudad Jardín,443237.9700541713,4477630.052574755
SALAMANCA - CIUDAD LINEAL,40.42860204345615,-3.660372381858145,INFRAESTRUCTURAS,"65000000,00",2024,Ventas,443984.6228186288,4475538.9650503285
TETUÁN,40.44950854965299,-3.6931388999977415,MANTENIMIENTO URBANO,"60500000,00",2024,Cuatro Caminos,441223.4275055193,4477880.8773947535
SAN BLAS-CANILLEJAS,40.445647,-3.604079,URBANISMO,"8670000,00",2024,Rosas,448772.6169326536,4477396.777898932
CHAMARTÍN - FUENCARRAL-EL PARDO,40.48012630664744,-3.685661521799237,INFRAESTRUCTURAS,"130000000,00",2024,La Paz,441883.892725401,4481274.51166018
TETUÁN,40.464472,-3.705556,MANTENIMIENTO URBANO,"2900000,00",2024,Valdeacederas,440183.7501393058,4479550.164383212
ARGANZUELA,40.39034134309781,-3.695511233736005,INVERSIONES DE CARÁCTER GENERAL,"1500000,00",2024,Legazpi,440970.5637421771,4471314.921867425
PUENTE DE VALLECAS,40.37916825846266,-3.674525957029483,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1700000,00",2024,Entrevías,442742.1795724469,4470060.922950014
CENTRO,40.4124241519349,-3.705686272344359,PROTECCIÓN Y PROMOCIÓN SOCIAL,"5700000,00",2024,Embajadores,440126.5490360302,4473772.941191069
FUENCARRAL-EL PARDO,40.4789135943213,-3.693540659747283,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","14000000,00",2024,La Paz,441215.0004660367,4481145.118044719
MONCLOA-ARAVACA,40.45425270828716,-3.713061041622512,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","2500000,00",2024,Ciudad Universitaria,439538.3145977838,4478420.9307975145
ARGANZUELA,40.39865532340664,-3.704959759845779,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","2120000,00",2024,Acacias,440176.00047371635,4472244.117817968
HORTALEZA,40.464650948053816,-3.6275877145025817,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","2000000,00",2024,Canillas,446794.0004208024,4479520.11833306
CIUDAD LINEAL,40.44864976316054,-3.658571179746684,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","2080000,00",2024,San Juan Bautista,444154.0004419691,4477763.118153623
USERA,40.38850290426967,-3.706303079808029,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","1620000,00",2024,Moscardó,440053.000474618,4471118.117789656
