Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM,anyo_timestamp
VILLA DE VALLECAS,40.336444,-3.577083,MEDIO AMBIENTE,33703373.0,2020,Casco Histórico de Vallecas,450982.8418714711,4465260.082937777,2020-01-01
VILLA DE VALLECAS,40.365205725985575,-3.594149223122848,MEDIO AMBIENTE,3053600.0,2020,Ensanche de Vallecas,449554.67209524073,4468462.16592469,2020-01-01
CENTRO,40.4120708,-3.7132821,CULTURA,3750000.0,2020,Palacio,439481.7645163461,4473738.893090663,2020-01-01
VICÁLVARO,40.38058555358565,-3.5665939694949285,MEDIO AMBIENTE,12311393.15,2020,Casco Histórico de Vicálvaro,451905.1570344738,4470153.951408871,2020-01-01
MONCLOA-ARAVACA,40.4191125,-3.7256439,CULTURA,2200000.0,2020,Casa de Campo,438439.3400638858,4474529.057840594,2020-01-01
FUENCARRAL-EL PARDO,40.5055069,-3.6980938,CULTURA,5250000.0,2020,El Goloso,440852.42542399466,4484100.044218374,2020-01-01
FUENCARRAL-EL PARDO,40.50394934161543,-3.6782276991385294,CULTURA,5450000.0,2020,Valverde,442534.30902174255,4483914.021737013,2020-01-01
FUENCARRAL-EL PARDO,40.49453394197189,-3.706395285041539,PROTECCIÓN Y PROMOCIÓN SOCIAL,3350000.0,2020,Mirasierra,440139.3046203954,4482887.632639942,2020-01-01
PUENTE DE VALLECAS,40.3887019,-3.6555218,INVERSIONES DE CARÁCTER GENERAL,6800000.0,2020,Palomeras Bajas,444363.2229936136,4471107.014705686,2020-01-01
PUENTE DE VALLECAS,40.3887019,-3.6555218,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,5850000.0,2020,Palomeras Bajas,444363.2229936136,4471107.014705686,2020-01-01
VILLA DE VALLECAS,40.37928922449757,-3.6150449923781593,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,4550000.0,2020,Casco Histórico de Vallecas,447791.40810962673,4470037.537288216,2020-01-01
CIUDAD LINEAL,40.41483344395967,-3.626993340828186,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,4550000.0,2020,Pueblo Nuevo,446805.1380927655,4473990.029982952,2020-01-01
VICÁLVARO,40.39905,-3.562304,EDUCACIÓN,3050000.0,2020,El Cañaveral,452282.3434222596,4472201.154584121,2020-01-01
MONCLOA-ARAVACA,40.4583621,-3.7176174,INVERSIONES DE CARÁCTER GENERAL,3500000.0,2020,Ciudad Universitaria,439155.6770704879,4478880.204747611,2020-01-01
FUENCARRAL-EL PARDO - CHAMARTÍN,40.4833757449582,-3.681394083115272,INFRAESTRUCTURAS,63000000.0,2020,Valverde,442248.3849690551,4481632.400279623,2020-01-01
VILLAVERDE,40.35706418,-3.70204189,URBANISMO,11500000.0,2020,Ángeles,440386.97042960353,4467625.578465321,2020-01-01
ARGANZUELA,40.40091796,-3.72018992,INFRAESTRUCTURAS,61000000.0,2020,Imperial,438885.5802317771,4472505.687171517,2020-01-01
BARAJAS,40.47234488,-3.57624752,URBANISMO,2350093.0,2020,Casco Histórico de Barajas,451152.1489775117,4480344.4696436,2020-01-01
CARABANCHEL,40.3616093,-3.7560156,CULTURA,4650000.0,2020,Buenavista,435808.1279287273,4468167.84533169,2020-01-01
VICÁLVARO,40.377746,-3.563952,MEDIO AMBIENTE,1613487.25,2020,Casco Histórico de Vicálvaro,452127.4096501516,4469837.332071369,2020-01-01
PUENTE DE VALLECAS,40.375811,-3.66864,PROTECCIÓN Y PROMOCIÓN SOCIAL,1901228.42,2020,Entrevías,443239.0013273176,4469684.47736475,2020-01-01
ARGANZUELA,40.391115,-3.695416,INVERSIONES DE CARÁCTER GENERAL,5762888.95,2020,Chopera,440979.3219209084,4471400.733480478,2020-01-01
MONCLOA-ARAVACA,40.45883,-3.785569,PROTECCIÓN Y PROMOCIÓN SOCIAL,4578249.12,2020,Aravaca,433394.700321593,4478981.186548976,2020-01-01
VILLAVERDE,40.33064,-3.715899,SECTORES PRODUCTIVOS,5450844.2,2020,"Villaverde Alto, Casco Histórico de Villaverde",439186.5749504493,4464701.969427144,2020-01-01
LATINA,40.381304,-3.764865,PROTECCIÓN Y PROMOCIÓN SOCIAL,3009760.01,2020,Águilas,435075.6388207017,4470360.3956111,2020-01-01
MORATALAZ,40.412007,-3.658037,EDUCACIÓN,3684370.34,2020,Media Legua,444169.0027448094,4473695.445666098,2020-01-01
VILLAVERDE,40.355326,-3.703866,EDUCACIÓN,1427859.38,2020,Ángeles,440230.5422341663,4467433.873839766,2020-01-01
HORTALEZA,40.469013,-3.641922,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,4645587.48,2020,Canillas,445582.27272590937,4480013.045158603,2020-01-01
MONCLOA-ARAVACA,40.429685,-3.729507,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,2199552.56,2020,Casa de Campo,438121.2971493496,4475705.302084713,2020-01-01
VICÁLVARO,40.392178,-3.58983,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,5729389.2,2020,Casco Histórico de Vicálvaro,449941.3585450317,4471453.592733928,2020-01-01
BARAJAS,40.4517812278232,-3.53545820965742,MEDIO AMBIENTE,69814811.2,2021,Aeropuerto,454595.98589535087,4478040.132834251,2021-01-01
BARAJAS,40.4944431,-3.5501484,MEDIO AMBIENTE,65910244.12,2021,Aeropuerto,453379.8444638532,4482783.2632951,2021-01-01
VICÁLVARO,40.4069441,-3.5531687,VIVIENDA,17560920.16,2021,El Cañaveral,453063.0610976127,4473072.499249218,2021-01-01
VICÁLVARO,40.4067067,-3.5560424,VIVIENDA,17542423.44,2021,El Cañaveral,452819.0576577327,4473047.678119079,2021-01-01
VICÁLVARO,40.4067044,-3.556465,VIVIENDA,17467699.89,2021,El Cañaveral,452783.19769201713,4473047.648489389,2021-01-01
VICÁLVARO,40.405684,-3.5572887,VIVIENDA,14839949.1,2021,El Cañaveral,452712.5911650226,4472934.825577886,2021-01-01
