Barrio,anyo,Indicador,valor_indicador
EL SALVADOR,2019,num_hosteleria,46.0
EL VISO,2019,num_hosteleria,160.0
FUENTE DEL BERRO,2019,num_hosteleria,138.0
VALLEHERMOSO,2019,num_hosteleria,150.0
BUENAVISTA,2019,num_hosteleria,199.0
SAN JUAN BAUTISTA,2019,num_hosteleria,67.0
COMILLAS,2019,num_hosteleria,113.0
GOYA,2019,num_hosteleria,348.0
CASTELLANA,2019,num_hosteleria,232.0
LAS AGUILAS,2019,num_hosteleria,160.0
ENSANCHE DE VALLECAS,2019,num_hosteleria,113.0
BELLAS VISTAS,2019,num_hosteleria,158.0
PACIFICO,2019,num_hosteleria,167.0
CASTILLA,2019,num_hosteleria,85.0
SAN PASCUAL,2019,num_hosteleria,86.0
QUINTANA,2019,num_hosteleria,158.0
JUSTICIA,2019,num_hosteleria,519.0
ATOCHA,2019,num_hosteleria,13.0
HISPANOAMERICA,2019,num_hosteleria,246.0
VALDEZARZA,2019,num_hosteleria,79.0
PIOVERA,2019,num_hosteleria,56.0
GUINDALERA,2019,num_hosteleria,242.0
CHOPERA,2019,num_hosteleria,99.0
PUEBLO NUEVO,2019,num_hosteleria,278.0
ARCOS,2019,num_hosteleria,54.0
PALOMERAS BAJAS,2019,num_hosteleria,117.0
RIOS ROSAS,2019,num_hosteleria,289.0
MARROQUINA,2019,num_hosteleria,124.0
SOL,2019,num_hosteleria,496.0
CIUDAD JARDIN,2019,num_hosteleria,160.0
PALOMAS,2019,num_hosteleria,30.0
SAN ISIDRO,2019,num_hosteleria,152.0
PINAR DEL REY,2019,num_hosteleria,186.0
PALACIO,2019,num_hosteleria,606.0
CASA DE CAMPO,2019,num_hosteleria,116.0
ALAMEDA DE OSUNA,2019,num_hosteleria,57.0
ORCASUR,2019,num_hosteleria,37.0
IBIZA,2019,num_hosteleria,197.0
ZOFIO,2019,num_hosteleria,50.0
HELLIN,2019,num_hosteleria,8.0
PUERTA DEL ANGEL,2019,num_hosteleria,220.0
CIUDAD UNIVERSITARIA,2019,num_hosteleria,140.0
EL CAÑAVERAL,2019,num_hosteleria,2.0
LISTA,2019,num_hosteleria,230.0
