Barrio,anyo,Inversion,airbnb,Superficie (Ha.),Población densidad (hab./Ha.),Tasa bruta de natalidad (‰),Población en etapas educativas,Tasa de crecimiento demográfico (porcentaje),Porcentaje de envejecimiento (Población mayor de 65 años/Población total),Paro registrado (número de personas registradas en SEPE en febrero),Tamaño medio del hogar,Valor catastral medio por inmueble de uso residencial,Hogares con un hombre solo mayor de 65 años,Hogares con una mujer sola mayor de 65 años,Edad media de la población,Número Habitantes,Población Mujeres,Total hogares,Personas con nacionalidad española,Personas con nacionalidad extranjera,Renta neta media anual de los hogares (Urban Audit),num_hogar_monoparental,anyo_timestamp,poblacion_noEstudios,poblacion_estudios_medios,poblacion_estudios_superiores,precio_vivienda
Villaverde Alto - Casco Histórico de Villaverde,2021,0.0,21,925.0,50.52,9.24,7413,3.36,0.16,4793,2.82,60119.0,396,1453,42.04,46836,24570,16586,36438,10311,25622.0,415,2021-01-01,8821,8762,3411,1714.38
Vinateros,2021,0.0,5,59.0,288.0,7.36,1968,1.49,0.29,1052,2.35,76156.0,271,1078,49.2,16928,9485,7287,15000,2122,29627.0,161,2021-01-01,911,7395,1699,2405.58
Vista Alegre,2021,5696469.67,32,159.0,300.0,7.87,5991,3.48,0.22,3601,2.72,60791.0,529,2059,45.07,47261,25735,17496,35997,11605,28333.0,341,2021-01-01,7591,20468,6819,2122.1
Zofío,2021,6228103.65,5,77.0,186.0,8.88,1958,3.13,0.17,1246,2.85,46536.0,125,484,42.94,14398,7641,5049,10670,3741,26501.0,108,2021-01-01,2581,5286,1469,1920.8
Águilas,2021,0.0,5,361.0,144.0,6.6,6249,1.07,0.28,3162,2.5,61654.0,739,2507,48.05,51625,27719,20876,45643,6468,30653.0,405,2021-01-01,9366,23192,4124,2212.08
Ángeles,2021,0.0,5,194.0,168.0,7.88,4044,4.29,0.25,2599,2.63,72326.0,388,1543,46.79,32828,17519,12384,26758,5780,29050.0,274,2021-01-01,6105,11023,3510,1761.69
Abrantes,2022,0.0,12,156.0,205.0,7.9,4924,-1.4,17.29,1865,2.83,60131.0,279,1140,42.94,30925,16564,11120,24398,7119,30009.0,281,2022-01-01,3644,9964,4250,2013.23
Acacias,2022,1240971.99,69,107.0,345.0,5.5,3687,-1.4,24.15,1390,2.35,118613.0,474,1557,47.52,36038,19403,15474,33530,2865,47683.0,295,2022-01-01,821,7445,15500,4195.41
Adelfas,2022,18980000.0,43,64.0,295.0,8.6,2480,-0.7,22.18,698,2.4,136988.0,197,741,45.53,18715,10040,7774,17189,1464,49538.0,176,2022-01-01,1238,5725,5287,4465.68
Aeropuerto,2022,148414337.48999998,1,2966.0,1.0,14.1,297,0.9,14.7,84,2.72,52602.0,24,58,42.03,1895,928,704,1481,437,27316.0,22,2022-01-01,298,890,204,0.0
Alameda de Osuna,2022,6356545.99,21,203.0,98.0,6.6,3203,-0.8,25.91,563,2.67,140473.0,250,650,45.91,19662,10250,7359,18394,1263,55681.0,217,2022-01-01,832,6140,7676,3400.47
Almagro,2022,0.0,73,94.0,212.0,8.6,2238,-1.5,24.19,480,2.44,287651.0,308,853,46.48,19358,10801,8011,16690,2856,68837.0,177,2022-01-01,701,4937,3313,7373.38
Almenara,2022,3629943.96,52,100.0,231.0,8.7,2688,-1.2,18.96,1501,2.43,112183.0,296,864,44.2,22594,12203,9375,18991,3747,31609.0,207,2022-01-01,3162,8688,2682,3291.43
Almendrales,2022,0.0,29,78.0,285.0,9.4,3348,1.5,15.46,1359,2.85,66966.0,212,780,41.88,22499,11977,7907,15945,6571,27823.0,182,2022-01-01,3569,9848,3290,2561.77
Aluche,2022,0.0,22,285.0,238.0,6.1,7539,-0.7,29.05,3098,2.5,74502.0,994,3655,48.82,65833,35747,26839,54838,12129,32611.0,467,2022-01-01,10560,16297,4654,2247.29
Amposta,2022,2955718.56,0,37.0,241.0,9.7,1322,0.1,17.82,718,2.62,47452.0,113,405,43.43,8710,4648,3393,7121,1764,23562.0,104,2022-01-01,1656,4089,744,1740.28
Apóstol Santiago,2022,0.0,16,121.0,130.0,7.4,1855,-0.5,21.17,824,2.66,117373.0,164,623,45.94,15374,8031,5827,13831,1642,38900.0,116,2022-01-01,486,4261,3918,2741.61
Arapiles,2022,4834596.5,74,58.0,428.0,7.4,2471,-1.8,24.01,790,2.17,142481.0,380,1440,46.33,23972,13202,11203,21176,3084,46882.0,187,2022-01-01,437,6743,8656,5357.23
Aravaca,2022,2948674.54,22,583.0,47.31,9.2,5272,0.2,15.63,651,3.14,228390.0,210,502,40.92,27323,14544,8770,24640,2928,72999.0,300,2022-01-01,1120,5662,11647,3993.14
Arcos,2022,4395290.43,14,131.0,190.0,5.9,3593,-0.2,17.0,1508,2.72,79953.0,231,865,43.41,24960,13236,9076,21721,2921,31150.0,227,2022-01-01,3920,10440,3800,3224.91
Argüelles,2022,0.0,138,76.0,324.0,6.3,2413,-1.1,24.64,696,2.32,242515.0,388,1150,46.87,24165,13130,10411,20598,3564,55125.0,180,2022-01-01,1089,6327,2092,6065.12
Atalaya,2022,0.0,0,25.0,62.92,12.1,248,1.6,21.77,35,2.73,228205.0,15,54,44.79,1607,911,579,1392,188,69982.0,19,2022-01-01,35,381,761,0.0
Atocha,2022,0.0,10,74.0,18.0,12.1,291,17.6,10.25,65,2.78,191895.0,4,19,39.05,1620,824,520,1356,88,42657.0,12,2022-01-01,73,505,578,5742.49
Bellas Vistas,2022,0.0,68,72.0,419.0,8.3,3469,-1.5,18.13,1348,2.46,94259.0,383,1198,43.66,28995,15764,11967,22276,7189,33574.0,206,2022-01-01,2824,11567,6754,3523.47
Berruguete,2022,4500000.0,46,61.0,427.0,8.2,3130,-0.7,16.32,1216,2.46,85590.0,278,967,43.08,24951,13747,10423,19211,6452,31387.0,220,2022-01-01,876,10554,2040,3302.37
Buenavista,2022,35197651.099999994,14,561.0,86.0,6.7,9238,0.0,13.43,2463,2.75,76092.0,355,1024,40.7,47815,24663,17437,40880,7128,33558.0,655,2022-01-01,5117,20279,6536,2365.26
Butarque,2022,12002237.58,4,638.0,31.65,11.0,4847,3.4,8.66,1169,2.86,77664.0,89,242,36.93,20813,10726,7254,17651,3070,31437.0,371,2022-01-01,1888,7018,3119,2059.11
Campamento,2022,0.0,13,919.0,21.71,6.2,2473,-1.4,23.23,871,2.64,75738.0,261,786,46.04,19337,10367,7428,15321,4258,33454.0,143,2022-01-01,648,8606,3834,2159.81
Canillas,2022,1851784.67,59,252.0,162.0,6.4,4789,-1.4,26.92,1603,2.5,123856.0,477,1778,48.24,39708,21283,16129,36232,4049,42659.0,335,2022-01-01,5080,15373,3421,3483.42
Canillejas,2022,0.0,27,160.0,183.0,6.8,3652,-0.4,23.01,1500,2.62,75625.0,364,1166,46.01,28541,15223,11039,23915,5010,33554.0,238,2022-01-01,3580,11837,4903,2369.55
Casa de Campo,2022,23172753.4,27,1746.0,7.58,5.0,1257,-1.0,24.85,536,2.34,110031.0,208,725,48.58,12804,6875,5588,11761,1305,44964.0,114,2022-01-01,973,4093,2607,3758.61
Casco Histórico de Barajas,2022,10680177.45,21,55.0,141.0,7.5,857,-2.4,18.95,355,2.37,104818.0,92,242,45.11,7351,3820,3160,6030,1474,31626.0,59,2022-01-01,1014,3635,1232,3077.1
Casco Histórico de Vallecas,2022,136400040.95999998,24,4305.0,9.55,7.7,6509,-1.8,16.47,3132,2.7,61094.0,391,1298,42.09,39578,20607,14886,32834,7407,26309.0,433,2022-01-01,7385,15860,1676,1919.04
Casco Histórico de Vicálvaro,2022,0.0,15,2149.0,16.7,7.7,5252,-0.3,20.44,2390,2.66,57318.0,439,1387,44.23,35086,18161,13371,27906,7642,25968.0,330,2022-01-01,2702,7544,3553,2283.62
Castellana,2022,4111605.7,77,77.0,224.0,9.2,1962,-0.9,23.2,317,2.47,347019.0,253,706,45.15,17015,9565,6947,13873,3269,81380.0,100,2022-01-01,509,2168,8498,6933.03
Castilla,2022,3559967.96,23,216.0,80.12,8.6,2315,-0.8,22.61,484,2.56,158833.0,230,678,45.08,16988,9129,6676,15387,1704,61310.0,115,2022-01-01,685,4134,8295,4105.89
Castillejos,2022,0.0,85,70.0,296.0,9.1,1957,-1.4,23.69,764,2.19,154466.0,353,1081,46.71,20282,11185,9367,17278,3263,48631.0,130,2022-01-01,1186,6273,9249,4288.21
Chopera,2022,6849413.0,62,57.0,359.0,7.0,2121,-1.0,22.55,900,2.33,93680.0,278,1012,46.53,19734,10740,8626,17215,2861,35015.0,127,2022-01-01,585,7908,6417,3553.34
Ciudad Jardín,2022,0.0,34,76.0,249.0,10.2,2287,-1.5,23.37,704,2.31,141059.0,258,953,46.16,18410,10229,8056,16248,2370,48944.0,152,2022-01-01,956,3684,5370,4861.42
Ciudad Universitaria,2022,3209931.32,15,1425.0,11.5,6.9,2044,-1.4,25.32,419,2.61,276728.0,218,671,46.18,16220,8731,6193,14573,1602,65330.0,135,2022-01-01,643,3613,8108,4319.97
Colina,2022,0.0,9,56.0,117.0,6.5,953,-2.4,22.99,224,2.45,161302.0,76,255,45.73,6338,3473,2602,5666,701,56253.0,98,2022-01-01,267,1617,2946,4219.16
Comillas,2022,8089833.0,58,67.0,346.0,6.8,2486,-1.3,23.12,1313,2.36,64074.0,377,1260,46.73,22214,11984,9617,18102,4593,29444.0,200,2022-01-01,2933,7305,4969,2658.56
Corralejos,2022,0.0,3,467.0,17.0,6.2,1735,-1.2,9.85,204,2.95,181844.0,38,86,38.79,7601,3858,2600,7160,504,70874.0,142,2022-01-01,253,1548,3096,3581.79
Cortes,2022,28970839.25,553,59.0,182.0,5.9,736,0.2,16.98,451,1.97,177586.0,217,401,44.78,10828,5483,5488,7983,2804,40963.0,71,2022-01-01,596,3224,5314,5049.77
Costillares,2022,0.0,10,143.0,157.0,7.7,3289,-0.8,22.45,655,2.76,198219.0,209,792,45.09,21768,11569,8006,20820,1254,70459.0,224,2022-01-01,725,4939,10160,4225.62
Cuatro Caminos,2022,11146000.0,114,119.0,299.0,8.5,3658,-1.1,22.45,1184,2.3,143853.0,459,1755,45.78,34471,19035,15146,29272,5545,46339.0,247,2022-01-01,2043,6983,15261,4397.06
Cuatro Vientos,2022,0.0,5,543.0,10.88,8.0,1321,-0.1,6.74,346,2.65,112016.0,30,66,37.28,5966,2970,2213,5394,480,37421.0,126,2022-01-01,346,2235,1504,3086.26
Delicias,2022,0.0,78,105.0,269.0,8.5,3903,0.5,17.02,1010,2.4,117439.0,326,1038,43.42,28243,14947,11826,24828,3546,43018.0,256,2022-01-01,1775,8854,11263,3898.72
El Cañaveral,2022,178960637.73,0,1057.0,2.34,25.2,1039,59.5,2.62,283,2.46,115857.0,9,3,32.42,8944,4419,1804,4020,410,34452.0,57,2022-01-01,152,3490,2700,2412.27
El El Salvador,2022,0.0,7,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,2022-01-01,0,0,0,0.0
El Goloso,2022,7744494.65,2,2649.0,7.22,13.8,5963,-0.6,7.11,406,3.24,159558.0,51,103,34.66,19075,9647,5845,17790,1138,67420.0,464,2022-01-01,601,3181,7718,5364.9
El Pardo,2022,0.0,1,18758.0,0.19,6.4,413,-0.8,24.75,135,2.62,108583.0,52,173,47.54,3382,1699,1315,3271,172,38883.0,43,2022-01-01,443,1560,709,3021.76
El Plantío,2022,2305750.42,1,353.0,8.02,6.7,539,4.1,19.1,51,3.22,507348.0,31,37,42.11,2998,1614,905,2599,317,91933.0,25,2022-01-01,96,616,1331,4267.15
El Viso,2022,18478964.3,24,171.0,102.0,9.1,2416,-0.5,21.67,319,2.82,419714.0,204,535,44.85,17181,9414,6146,15302,2047,80370.0,102,2022-01-01,504,3840,8630,6888.17
Embajadores,2022,2712440.5,1182,103.0,456.0,6.3,3809,0.4,13.45,2689,2.09,97806.0,660,1563,42.87,46444,22173,22614,33267,13971,29472.0,359,2022-01-01,4547,15516,16016,4300.67
Ensanche de Vallecas,2022,34710230.510000005,0,634.0,77.73,14.9,12338,2.7,4.69,2474,2.54,102583.0,198,290,34.66,51129,26035,19797,44106,6098,35065.0,1124,2022-01-01,2402,17906,12702,2709.91
Entrevías,2022,30885421.67,15,597.0,59.73,8.2,5012,-0.8,18.57,2943,2.76,45129.0,364,1317,43.58,34690,18099,12749,28945,6294,24124.0,305,2022-01-01,8027,12643,2159,1735.19
Estrella,2022,0.0,11,103.0,229.0,6.3,2989,-1.3,31.05,597,2.64,183828.0,270,1038,49.03,22780,12266,8722,21954,1096,63495.0,138,2022-01-01,1087,4105,10820,4008.15
Fontarrón,2022,0.0,22,96.0,183.0,6.3,2161,-1.3,24.51,934,2.51,72632.0,235,964,47.0,17044,9298,6899,14488,2802,29820.0,161,2022-01-01,904,4368,2872,2232.85
Fuente del Berro,2022,0.0,43,85.0,250.0,7.0,2256,-1.4,24.31,783,2.26,135086.0,327,1159,46.99,20848,11761,9266,18207,2756,44221.0,159,2022-01-01,376,4011,7271,5028.14
Fuentelarreina,2022,0.0,0,138.0,24.09,5.7,584,1.4,25.63,56,2.96,326002.0,38,116,45.17,3346,1833,1135,3105,251,90678.0,24,2022-01-01,93,701,560,3740.43
Gaztambide,2022,0.0,94,51.0,463.0,6.4,2177,-1.7,25.5,744,2.18,152013.0,402,1329,47.09,22659,12601,10528,19952,2996,46630.0,136,2022-01-01,1122,6008,11314,5174.6
Goya,2022,2629606.88,131,77.0,390.0,7.9,3085,-1.6,23.82,835,2.24,193212.0,479,1558,46.28,29441,16601,13145,24768,4711,54456.0,214,2022-01-01,1238,7684,14706,5994.11
Guindalera,2022,15335880.73,120,160.0,265.0,7.6,4777,-0.9,23.99,1391,2.35,147839.0,534,2064,46.49,41721,22796,17813,36999,4940,50064.0,315,2022-01-01,2008,11648,6666,4568.96
Hellín,2022,6705833.41,9,55.0,170.0,5.7,1166,0.2,21.23,656,2.53,62296.0,133,516,45.82,9274,5003,3703,7836,1523,25720.0,68,2022-01-01,626,3540,954,1749.24
Hispanoamérica,2022,0.0,52,171.0,188.0,9.3,4601,-1.3,24.48,852,2.55,213749.0,400,1469,46.18,31463,17275,12406,29084,2558,69389.0,236,2022-01-01,1076,7434,15576,5456.99
Horcajo,2022,0.0,0,75.0,86.51,5.2,981,-1.0,9.84,377,2.92,140585.0,32,78,41.08,6354,3297,2181,6015,356,47612.0,79,2022-01-01,438,1977,1928,3376.86
Ibiza,2022,0.0,90,49.0,448.0,6.8,2625,-2.0,24.91,665,2.32,191946.0,320,1149,46.98,21377,11836,9304,18811,2747,50080.0,188,2022-01-01,1089,5916,10030,5556.97
Imperial,2022,63384413.45,62,97.0,237.0,6.6,2560,-1.4,22.33,909,2.35,117818.0,288,961,46.88,22456,12020,9628,20807,1789,46879.0,160,2022-01-01,1646,4800,7421,3561.44
Justicia,2022,2830796.0,533,74.0,244.0,6.8,1399,1.0,15.47,747,2.04,203726.0,263,642,44.17,18015,8794,8927,13870,4338,48203.0,129,2022-01-01,850,3432,9050,6166.2
La Concepción,2022,1050000.0,25,89.0,240.0,6.0,2446,-2.0,24.0,950,2.28,98897.0,353,1288,47.29,20440,11318,9088,17673,3053,37233.0,210,2022-01-01,1759,8021,5599,3710.07
La Paz,2022,17773000.0,8,215.0,156.0,6.2,3743,-1.9,34.26,821,2.64,146784.0,412,1343,50.33,32346,17287,12522,31108,1897,61899.0,197,2022-01-01,1998,10060,9464,3672.89
Legazpi,2022,16989385.060000002,17,141.0,140.0,10.6,3550,-1.2,9.75,618,2.57,150431.0,116,268,39.95,19469,9926,7603,18101,1471,52569.0,236,2022-01-01,710,4840,7591,4375.25
Lista,2022,0.0,76,52.0,409.0,6.9,2253,-1.7,23.81,566,2.27,188128.0,311,1121,46.02,20785,11788,9211,17528,3336,54488.0,165,2022-01-01,868,2947,9426,5691.87
Los Los Cármenes,2022,0.0,20,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,2022-01-01,0,0,0,0.0
Los Los Jerónimos,2022,0.0,47,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,2022-01-01,0,0,0,0.0
Los Rosales,2022,13526313.79,14,154.0,248.0,7.3,5408,-0.8,16.81,2408,2.85,64217.0,323,1024,43.25,37319,19401,13258,29901,7889,30320.0,294,2022-01-01,6016,9024,3558,1825.08
Lucero,2022,8210000.0,30,168.0,220.0,5.6,4462,-0.6,21.87,2060,2.57,75948.0,476,1676,45.88,36062,19175,14237,29651,6925,31918.0,276,2022-01-01,5326,15596,2023,2294.92
Marroquina,2022,2000000.0,12,179.0,152.0,5.9,2575,-2.1,28.09,1249,2.46,100673.0,356,1380,49.72,26297,14184,10815,24783,1875,42559.0,197,2022-01-01,2916,9545,7741,2927.88
Media Legua,2022,0.0,4,100.0,180.0,7.0,2013,-1.6,28.02,951,2.47,103179.0,229,965,48.64,17377,9532,7163,15801,1859,37694.0,160,2022-01-01,2381,6948,4381,2633.99
Mirasierra,2022,12475319.88,11,699.0,48.86,12.0,7588,1.5,15.14,867,3.13,215960.0,199,604,39.35,35240,18320,11038,32762,1803,72361.0,430,2022-01-01,1067,4893,15420,4464.42
Moscardó,2022,0.0,46,91.0,299.0,8.1,3378,-1.9,18.32,1519,2.71,56270.0,308,1120,44.07,26139,13846,9808,18716,7907,28149.0,195,2022-01-01,3911,12418,3932,2131.12
Niño Jesús,2022,0.0,24,64.0,241.0,6.9,2231,-1.1,26.88,356,2.69,250602.0,185,678,46.83,15129,8264,5679,14356,944,70945.0,99,2022-01-01,444,3447,5928,5415.86
Nueva España,2022,3576131.0,24,179.0,140.0,9.8,4202,-1.3,21.01,559,2.68,269527.0,304,891,43.75,24366,13351,9223,22287,2410,78098.0,197,2022-01-01,575,4988,8915,6172.91
Numancia,2022,6050987.57,75,185.0,263.0,8.5,6222,-0.6,18.16,3255,2.62,53227.0,548,1812,43.95,47314,24941,18371,36729,11387,26666.0,424,2022-01-01,8389,21897,6172,1933.99
Opañel,2022,0.0,42,111.0,306.0,8.1,3982,0.0,20.13,1808,2.55,64836.0,433,1554,45.0,33300,18017,13209,25818,7838,30002.0,253,2022-01-01,3563,7141,5418,2433.51
Orcasitas,2022,3536005.85,7,136.0,171.0,6.0,3813,-0.3,18.99,1452,2.74,56450.0,232,844,43.84,22996,12169,8437,20731,2363,29430.0,229,2022-01-01,4317,9906,2453,1865.41
Orcasur,2022,5300000.0,32,139.0,103.0,8.6,2249,0.0,14.06,1211,2.96,67826.0,104,317,41.0,14250,7335,4772,11589,2552,27367.0,122,2022-01-01,2758,2641,1615,1909.23
Pacífico,2022,32175799.64,114,76.0,447.0,5.9,3318,-2.1,25.72,1159,2.26,122706.0,531,1888,48.19,32745,18132,14625,29854,3213,44832.0,250,2022-01-01,2092,10545,11504,4172.72
Palacio,2022,1617005.68,874,147.0,161.0,6.4,1767,0.0,18.79,1244,2.03,138813.0,470,1045,45.96,23417,11849,11613,18923,4660,38974.0,183,2022-01-01,1629,7479,10579,4851.23
Palomas,2022,0.0,6,107.0,64.0,8.5,1344,0.8,15.44,196,3.07,262409.0,48,117,41.24,6933,3546,2246,6124,767,85614.0,72,2022-01-01,143,1424,3094,4163.92
Palomeras Bajas,2022,24744289.76,35,172.0,238.0,6.7,5096,-1.1,16.72,2656,2.67,54679.0,381,1306,44.16,39935,21213,15130,33993,6475,30752.0,363,2022-01-01,6117,9857,5791,1995.5
Palomeras Sureste,2022,0.0,16,311.0,139.0,7.3,5778,-0.6,18.17,2842,2.67,56329.0,439,1421,44.27,42540,22322,16074,37036,5886,28902.0,383,2022-01-01,3369,17472,4045,1832.09
Palos de la Frontera,2022,0.0,171,65.0,406.0,7.0,2459,-1.9,20.73,1106,2.18,100436.0,355,1291,46.29,25078,13312,11802,21767,4017,37389.0,208,2022-01-01,2108,8601,10086,3945.48
Pavones,2022,2350000.0,2,101.0,91.0,5.5,1057,-4.2,25.64,474,2.72,102149.0,109,361,48.2,8719,4751,3300,7998,974,35784.0,64,2022-01-01,1347,3626,899,2117.7
Peñagrande,2022,0.0,19,289.0,156.0,6.7,5785,-1.2,26.42,1644,2.59,139088.0,564,1775,47.33,43887,23508,17118,40645,3738,48909.0,441,2022-01-01,4314,15460,14601,3554.93
Pilar,2022,0.0,27,136.0,345.0,6.5,4962,-1.9,28.86,1914,2.36,84331.0,671,2594,48.83,45354,24709,19496,40295,5675,35594.0,345,2022-01-01,1979,13384,12430,3436.49
Pinar del Rey,2022,0.0,43,266.0,200.0,6.4,6388,-1.3,26.14,2581,2.45,100474.0,702,2568,47.63,51844,28060,21422,46178,6315,35784.0,524,2022-01-01,7243,20111,1888,3040.79
Piovera,2022,1200000.0,14,314.0,48.0,7.2,2618,-0.7,14.88,363,3.04,392587.0,97,235,41.71,14948,7788,4882,12521,2314,85549.0,142,2022-01-01,418,3017,6942,5016.52
Portazgo,2022,0.0,11,125.0,234.0,8.0,3994,-0.8,21.11,2093,2.65,48712.0,328,1225,44.92,28249,14939,10842,23975,4761,25564.0,252,2022-01-01,6179,12441,2768,1827.73
Pradolongo,2022,3000971.99,14,110.0,164.0,9.5,2514,0.3,16.19,1015,2.98,48393.0,165,573,42.48,17442,9223,6016,11146,6759,24711.0,134,2022-01-01,3457,8301,1432,1871.77
Prosperidad,2022,0.0,66,104.0,356.0,7.3,4092,-1.7,25.38,1269,2.28,131942.0,495,2057,47.25,35963,19893,15906,32333,3970,46805.0,297,2022-01-01,1860,11029,14535,4393.45
Pueblo Nuevo,2022,4187877.45,58,232.0,275.0,7.3,7513,-1.3,21.53,3141,2.59,83786.0,753,2708,45.73,61935,33353,24178,50741,11990,32028.0,467,2022-01-01,6817,14599,11834,2598.24
Puerta Bonita,2022,0.0,25,161.0,225.0,7.6,5129,0.0,17.46,2339,2.83,59297.0,371,1239,43.02,35395,18748,12708,26778,9169,27425.0,312,2022-01-01,4357,16271,4333,2054.57
Puerta del Ángel,2022,0.0,101,138.0,309.0,7.5,4699,-0.9,20.25,2485,2.39,78689.0,563,2045,45.28,41401,22288,17566,32876,9106,29648.0,342,2022-01-01,4232,9100,9380,2611.52
Quintana,2022,0.0,54,72.0,349.0,6.4,2710,-2.1,21.57,1188,2.37,89676.0,329,1402,46.25,24183,13435,10367,19655,4965,32082.0,190,2022-01-01,778,10489,6351,3153.58
Recoletos,2022,6520496.5,111,87.0,182.0,9.1,1814,-1.4,23.19,321,2.36,393319.0,277,605,46.23,15647,8603,6619,12693,2936,81692.0,117,2022-01-01,408,2403,8466,8348.93
Rejas,2022,0.0,41,502.0,34.55,10.0,3335,-1.2,11.24,683,2.51,102733.0,137,390,39.77,16971,8701,6825,13896,3202,40746.0,290,2022-01-01,937,4065,5309,2971.39
Rosas,2022,0.0,19,930.0,34.32,5.8,4731,-0.8,14.55,1295,2.84,117459.0,202,563,43.3,30887,16047,11112,29566,1967,46723.0,311,2022-01-01,2369,10235,8241,3350.6
Ríos Rosas,2022,0.0,87,98.0,284.0,8.3,3120,-1.3,23.51,743,2.25,160161.0,389,1429,45.98,26901,15103,12082,23933,3283,53844.0,229,2022-01-01,1230,6956,13438,5782.02
San Cristóbal,2022,0.0,11,108.0,157.0,12.0,3160,0.5,11.45,1471,3.28,28123.0,125,460,38.4,16640,8417,5177,10814,6172,21071.0,125,2022-01-01,3066,3013,867,1294.0
San Diego,2022,55752511.8,97,107.0,412.0,10.1,6320,-0.7,13.29,3114,2.7,50047.0,477,1335,40.82,42910,22376,16125,29326,14248,23112.0,415,2022-01-01,2434,20360,4661,2014.65
San Fermín,2022,0.0,17,148.0,163.0,7.2,3991,-0.7,14.21,1665,2.87,63310.0,189,592,41.34,23460,12275,8296,18852,4986,27478.0,276,2022-01-01,2866,4234,2710,1876.29
San Isidro,2022,3222990.54,77,190.0,212.0,7.1,5161,-0.7,18.69,2856,2.59,62211.0,471,1557,44.16,39391,20891,15311,30992,8736,28092.0,334,2022-01-01,6523,7509,6529,2473.89
San Juan Bautista,2022,0.0,10,101.0,126.0,5.6,1898,-1.9,21.82,404,2.55,170788.0,139,510,45.2,12287,6556,4903,11147,1337,61278.0,154,2022-01-01,499,2978,5713,4145.15
San Pascual,2022,9068037.35,16,105.0,173.0,5.6,2143,-1.6,27.07,738,2.37,118722.0,251,995,48.31,17546,9632,7509,16194,1629,44222.0,183,2022-01-01,1770,6242,5029,3834.0
Santa Eugenia,2022,2703696.15,4,208.0,119.0,5.4,2844,-1.6,22.82,1324,2.68,67134.0,229,845,46.58,24110,12595,9050,21671,2617,38641.0,158,2022-01-01,870,5751,2548,2097.05
Simancas,2022,0.0,34,228.0,127.0,7.1,4165,-0.9,15.5,1616,2.58,79030.0,278,1084,42.92,28171,14881,11044,22946,5504,33593.0,315,2022-01-01,3430,10140,4911,2555.44
Sol,2022,7556655.0,678,45.0,172.0,5.8,502,4.8,16.19,382,2.05,197723.0,150,260,43.63,8117,3885,3895,5433,2560,35057.0,51,2022-01-01,450,1879,3449,5113.98
Timón,2022,4500000.0,12,480.0,27.0,13.3,2753,3.7,10.53,521,2.7,121584.0,74,198,39.72,11895,6273,4933,11874,1458,42831.0,235,2022-01-01,852,3011,1450,3267.12
Trafalgar,2022,0.0,157,61.0,410.0,7.9,2477,-1.6,21.4,808,2.1,141190.0,402,1254,45.33,24495,13432,11704,21003,3625,46190.0,210,2022-01-01,1205,6627,12218,5476.8
Universidad,2022,4650000.0,975,95.0,353.0,5.6,2395,0.0,15.66,1528,1.97,124276.0,536,1226,43.91,32861,16512,16967,25250,8176,35344.0,229,2022-01-01,2014,6902,6958,4977.11
Valdeacederas,2022,28962553.83,38,116.0,229.0,8.0,3391,0.3,14.17,1404,2.47,75193.0,260,809,42.3,26140,13863,10795,20174,6451,30164.0,212,2022-01-01,3124,8197,5072,3331.4
Valdebernardo,2022,0.0,0,256.0,69.86,4.3,2122,-1.6,12.14,1149,2.87,97422.0,110,304,43.13,17431,9110,6109,16229,1317,41478.0,132,2022-01-01,631,6773,4230,2700.81
Valdefuentes,2022,9643629.35,70,1703.0,37.0,15.4,16968,2.1,7.53,1970,2.93,186189.0,222,535,35.22,66210,33777,21598,56715,6538,58384.0,1255,2022-01-01,1549,12535,27405,4210.5
Valdemarín,2022,0.0,1,330.0,21.08,10.9,1745,-1.5,11.14,113,3.45,336529.0,40,65,37.17,7048,3765,1986,6187,669,90897.0,109,2022-01-01,171,978,3185,4563.39
Valderrivas,2022,0.0,0,64.0,283.0,4.7,4717,-1.1,6.22,627,2.85,99177.0,60,148,37.25,17867,9201,6307,17266,695,42775.0,355,2022-01-01,679,3238,1422,2782.31
Valdezarza,2022,0.0,30,140.0,219.0,8.5,3766,-1.0,24.97,1236,2.41,100224.0,411,1603,46.6,29802,16200,12508,26476,3615,37335.0,323,2022-01-01,3358,5128,8577,3004.08
Vallehermoso,2022,0.0,18,107.0,192.0,7.6,2284,-1.7,27.5,503,2.39,213905.0,281,1135,47.76,19902,11281,8408,18510,1559,61470.0,128,2022-01-01,661,2653,10376,5044.46
Valverde,2022,208773615.27,41,898.0,72.3,10.4,14902,-1.0,11.81,2485,2.79,125935.0,369,1500,38.54,63651,33323,22939,55889,8153,46290.0,1136,2022-01-01,1510,17369,19679,4408.98
Ventas,2022,118743956.96,64,320.0,154.0,7.1,5403,-1.0,23.0,2422,2.42,78396.0,692,2547,46.72,47801,26301,19993,39474,8937,30442.0,389,2022-01-01,1972,20149,10000,2734.37
Villaverde Alto - Casco Histórico de Villaverde,2022,0.0,31,925.0,50.78,8.5,7280,-0.2,16.25,3579,2.81,60438.0,396,1475,42.38,46156,24143,16592,36072,10565,26701.0,417,2022-01-01,8431,20934,3503,1939.98
