Barrio,anyo,Inversion,airbnb,Superficie (Ha.),Población densidad (hab./Ha.),Tasa bruta de natalidad (‰),Población en etapas educativas,Tasa de crecimiento demográfico (porcentaje),Porcentaje de envejecimiento (Población mayor de 65 años/Población total),Paro registrado (número de personas registradas en SEPE en febrero),Tamaño medio del hogar,Valor catastral medio por inmueble de uso residencial,Hogares con un hombre solo mayor de 65 años,Hogares con una mujer sola mayor de 65 años,Edad media de la población,Número Habitantes,Población Mujeres,Total hogares,Personas con nacionalidad española,Personas con nacionalidad extranjera,Renta neta media anual de los hogares (Urban Audit),num_hogar_monoparental,anyo_timestamp,poblacion_noEstudios,poblacion_estudios_medios,poblacion_estudios_superiores,precio_vivienda
Fontarrón,2020,0.0,10,96.0,178.0,7.7,2189,1.39,25.87,1012,2.5,72637.0,240,960,47.22,17139,9360,6869,14745,2394,28449.0,141,2020-01-01,3012,7855,2789,2285.44
Fuente del Berro,2020,0.0,20,85.0,247.0,7.94,2340,1.55,24.36,787,2.27,134678.0,330,1149,46.73,21071,11874,9302,18581,2490,41676.0,186,2020-01-01,1460,6771,4071,4797.72
Fuentelarreina,2020,0.0,0,138.0,24.0,8.31,555,0.95,26.4,77,2.93,326051.0,43,114,45.25,3265,1784,1114,3022,243,79413.0,27,2020-01-01,103,719,666,3762.46
Gaztambide,2020,0.0,62,51.0,452.0,6.72,2179,0.99,25.6,820,2.18,152839.0,377,1371,47.14,22891,12829,10498,20308,2583,45821.0,152,2020-01-01,424,6372,11308,5493.24
Goya,2020,0.0,65,77.0,385.0,8.78,3219,0.15,23.79,886,2.24,192969.0,457,1569,46.3,29649,16813,13237,25525,4124,50739.0,227,2020-01-01,1441,5449,11462,5895.89
Guindalera,2020,0.0,46,160.0,260.0,7.14,4789,0.84,24.36,1443,2.36,147032.0,520,2045,46.66,41609,22800,17615,37186,4423,46916.0,307,2020-01-01,2328,12193,19243,4573.78
Hellín,2020,0.0,4,55.0,166.0,9.06,1129,2.39,23.68,691,2.48,62296.0,124,553,47.2,9157,4976,3694,8010,1147,24039.0,70,2020-01-01,2032,4299,881,1593.7
Hispanoamérica,2020,0.0,29,171.0,185.0,10.33,4755,1.14,24.57,848,2.56,213972.0,383,1454,45.88,31733,17515,12381,29460,2273,63487.0,277,2020-01-01,1221,7862,15479,5469.64
Horcajo,2020,0.0,0,75.0,85.0,7.11,1147,0.13,8.49,366,2.93,140585.0,26,59,39.29,6334,3304,2165,6090,244,45263.0,89,2020-01-01,477,1993,779,0.0
Ibiza,2020,0.0,54,49.0,440.0,8.86,2688,0.81,24.86,749,2.34,192518.0,299,1165,46.83,21646,12129,9268,19196,2450,46829.0,185,2020-01-01,401,3722,9861,5469.24
Imperial,2020,61000000.0,38,97.0,235.0,7.65,2698,0.21,21.56,934,2.36,117610.0,275,928,46.11,22766,12223,9633,21160,1606,35479.0,165,2020-01-01,1866,4917,4315,3791.71
Justicia,2020,0.0,320,74.0,232.0,7.95,1453,3.41,16.08,825,2.0,205873.0,251,627,44.24,17153,8478,8582,13486,3667,41584.0,147,2020-01-01,972,3524,8822,5950.71
La Concepción,2020,0.0,19,89.0,235.0,8.21,2561,0.25,23.81,971,2.3,98953.0,340,1304,46.82,20856,11611,9059,17977,2878,34609.0,220,2020-01-01,2003,5557,6475,4002.51
La Paz,2020,0.0,6,215.0,157.0,7.55,3764,0.0,31.85,940,2.69,146892.0,378,1215,48.93,33765,17965,12550,32002,1763,59243.0,170,2020-01-01,2231,6406,6983,3643.28
Legazpi,2020,2679921.37,12,141.0,139.0,12.6,3862,2.06,8.66,680,2.58,150655.0,93,250,38.19,19652,10023,7628,18261,1391,50472.0,244,2020-01-01,793,3114,8503,4608.48
Lista,2020,0.0,44,52.0,403.0,8.97,2369,0.02,23.91,635,2.27,188332.0,299,1147,45.97,20961,11921,9233,18083,2878,49641.0,181,2020-01-01,1006,3594,10329,6030.55
Los Los Cármenes,2020,0.0,15,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,2020-01-01,0,0,0,0.0
Los Los Jerónimos,2020,0.0,34,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,2020-01-01,0,0,0,0.0
Los Rosales,2020,0.0,6,154.0,244.0,8.53,5841,1.64,16.65,2360,2.85,64244.0,296,994,42.23,37587,19516,13206,30373,7212,28679.0,347,2020-01-01,4736,16954,3459,1783.33
Lucero,2020,0.0,17,168.0,215.0,6.87,4538,1.68,22.55,2028,2.55,75960.0,461,1638,45.67,36090,19319,14133,29961,6129,30371.0,299,2020-01-01,5973,15469,5932,2230.17
Marroquina,2020,10407893.0,9,179.0,152.0,4.76,2809,-0.43,27.28,1254,2.52,100574.0,344,1266,48.62,27260,14614,10835,25571,1688,40061.0,207,2020-01-01,3272,9803,3315,2902.56
Media Legua,2020,3684370.34,3,100.0,179.0,8.14,2035,0.64,27.51,934,2.49,103188.0,196,913,48.01,17871,9705,7177,16204,1667,35922.0,146,2020-01-01,2653,7080,4375,2606.9
Mirasierra,2020,5647317.26,10,699.0,47.0,12.65,7156,2.59,14.49,850,3.11,214643.0,195,528,39.04,32898,17194,10568,31278,1620,69353.0,422,2020-01-01,1152,4947,11832,3097.57
Moscardó,2020,0.0,19,91.0,290.0,10.02,3450,2.41,18.93,1563,2.7,56243.0,311,1118,43.8,26353,14053,9763,19180,7173,26567.0,186,2020-01-01,4404,12636,3855,2059.12
Niño Jesús,2020,0.0,13,64.0,239.0,9.34,2295,0.41,26.39,363,2.72,250752.0,172,653,46.16,15343,8369,5632,14474,869,68049.0,104,2020-01-01,523,3622,7583,5524.82
Nueva España,2020,0.0,16,179.0,138.0,10.66,4247,0.66,20.89,569,2.67,269721.0,285,900,43.28,24657,13491,9227,22405,2252,73423.0,207,2020-01-01,669,5271,12490,6325.86
Numancia,2020,5160696.29,50,185.0,256.0,9.14,6270,1.62,18.59,3421,2.61,52936.0,525,1757,43.55,47298,24998,18116,37427,9871,25086.0,437,2020-01-01,9164,21763,2879,2003.37
Opañel,2020,0.0,23,111.0,298.0,7.75,4030,1.71,20.86,1854,2.52,64626.0,437,1584,44.9,33051,17926,13100,26118,6931,28305.0,248,2020-01-01,5055,7984,5987,2278.29
Orcasitas,2020,0.0,2,136.0,168.0,6.83,3980,1.24,19.44,1492,2.71,56461.0,224,852,43.43,22837,12072,8436,20944,1893,24998.0,250,2020-01-01,3280,9711,2291,1750.82
Orcasur,2020,4024761.47,5,139.0,100.0,8.84,2299,1.72,14.61,1188,2.92,67438.0,105,322,40.84,13808,7111,4724,11754,2054,25064.0,144,2020-01-01,2072,4568,1510,1678.25
Pacífico,2020,5279030.26,56,76.0,443.0,6.49,3570,0.0,24.96,1274,2.29,122518.0,483,1790,47.52,33571,18579,14665,30613,2958,36935.0,264,2020-01-01,2441,10958,12039,4269.03
Palacio,2020,73793639.82,522,147.0,156.0,6.73,1906,1.8,18.85,1235,2.03,139502.0,430,1027,45.72,22923,11710,11305,18894,4028,35509.0,186,2020-01-01,1867,7636,10374,5075.34
Palomas,2020,0.0,5,113.0,60.0,6.06,1415,0.77,14.73,197,3.1,261063.0,45,86,39.89,6790,3472,2193,6117,673,82127.0,91,2020-01-01,156,1475,2929,4219.48
Palomeras Bajas,2020,23764083.89,17,172.0,233.0,7.09,5301,1.25,16.32,2702,2.68,54502.0,355,1263,43.28,40166,21280,15013,34543,5623,29095.0,354,2020-01-01,6676,18041,5649,1870.45
Palomeras Sureste,2020,0.0,9,311.0,137.0,8.31,5972,1.12,18.3,2859,2.66,56131.0,426,1420,43.66,42594,22341,16007,37570,5024,27257.0,435,2020-01-01,8931,13122,3800,1648.98
Palos de la Frontera,2020,0.0,105,65.0,398.0,7.33,2530,0.21,20.65,1230,2.19,101223.0,362,1293,45.78,25801,13802,11768,21959,3841,34650.0,193,2020-01-01,2493,5589,10154,3862.74
Pavones,2020,0.0,1,101.0,90.0,7.36,1124,0.61,24.87,551,2.78,102156.0,98,345,46.51,9137,4952,3283,8199,938,34086.0,69,2020-01-01,1497,3715,1802,1997.15
Peñagrande,2020,0.0,14,289.0,154.0,7.06,5874,0.22,25.66,1704,2.62,138529.0,506,1621,46.43,44508,23765,16991,41086,3422,46484.0,461,2020-01-01,4839,9698,6754,3449.96
Pilar,2020,0.0,17,136.0,341.0,7.74,5060,0.7,29.27,1958,2.38,84418.0,650,2470,48.36,46419,25213,19542,41112,5307,34260.0,345,2020-01-01,2298,19045,10240,3435.9
Pinar del Rey,2020,0.0,23,266.0,198.0,7.24,6591,0.79,26.33,2688,2.48,100129.0,673,2448,47.03,52691,28414,21273,47047,5643,33796.0,542,2020-01-01,8111,20725,11369,2748.42
Piovera,2020,0.0,10,314.0,47.0,8.44,2743,1.27,13.86,352,3.06,389377.0,87,204,40.55,14911,7756,4879,12724,2187,81088.0,172,2020-01-01,432,3125,5412,4733.19
Portazgo,2020,0.0,4,125.0,228.0,9.03,3899,1.57,21.66,2141,2.63,48723.0,320,1228,44.84,28350,15116,10797,24268,4082,24110.0,255,2020-01-01,6841,12445,2619,1773.79
Pradolongo,2020,0.0,3,110.0,159.0,8.83,2518,1.14,17.2,1121,2.93,48320.0,165,593,42.18,17430,9273,5958,11525,5905,23479.0,137,2020-01-01,3751,8236,1375,1862.41
Prosperidad,2020,0.0,32,104.0,352.0,8.64,4121,0.35,24.94,1391,2.3,131287.0,499,1977,46.7,36651,20277,15908,32863,3788,44699.0,285,2020-01-01,2146,11594,16193,4406.3
Pueblo Nuevo,2020,4550000.0,25,232.0,268.0,7.56,7751,1.54,21.78,3212,2.6,83792.0,753,2615,45.31,62111,33281,23919,51383,10726,30458.0,485,2020-01-01,9519,27465,11601,2433.13
Puerta Bonita,2020,0.0,11,161.0,217.0,8.46,5185,2.7,18.48,2359,2.79,59344.0,371,1230,42.91,34860,18542,12497,27033,7827,26012.0,331,2020-01-01,6344,6990,4296,1987.58
Puerta del Ángel,2020,0.0,54,138.0,303.0,7.05,4884,0.8,20.75,2590,2.39,78242.0,543,2035,45.21,41730,22541,17487,33691,8039,28421.0,388,2020-01-01,6392,17986,7595,2574.74
Quintana,2020,0.0,39,72.0,340.0,6.69,2822,1.02,22.19,1248,2.38,89736.0,323,1416,46.06,24622,13740,10338,20087,4535,30692.0,212,2020-01-01,3013,10803,6225,3144.46
Recoletos,2020,0.0,58,87.0,180.0,9.97,1874,-0.14,22.98,323,2.36,394513.0,262,619,45.85,15734,8660,6664,13090,2644,79737.0,124,2020-01-01,461,3611,3367,8553.75
Rejas,2020,0.0,31,502.0,33.0,10.42,3388,2.29,11.23,668,2.5,101882.0,142,361,38.56,16693,8551,6689,13797,2896,38875.0,277,2020-01-01,1069,4066,5360,1816.06
Rosas,2020,1704063.93,18,930.0,34.0,5.82,5594,0.37,13.5,1261,2.86,117533.0,179,522,41.3,31677,16464,11061,29947,1729,44106.0,352,2020-01-01,749,8067,8034,3448.63
Ríos Rosas,2020,0.0,51,98.0,281.0,9.48,3153,1.22,23.32,873,2.26,156989.0,372,1419,45.8,27382,15400,12139,24346,3036,49813.0,250,2020-01-01,1455,7371,13368,5421.65
San Cristóbal,2020,0.0,4,108.0,148.0,12.23,3079,3.51,12.81,1539,3.14,28247.0,135,507,38.62,16052,8218,5116,10885,5165,19859.0,147,2020-01-01,2405,2879,850,1320.19
San Diego,2020,23561946.290000003,56,107.0,389.0,10.74,6201,3.41,14.22,3283,2.63,48431.0,451,1383,40.88,41664,21831,15846,29629,12035,21338.0,448,2020-01-01,7652,18820,4612,1930.5
San Fermín,2020,0.0,13,148.0,160.0,9.3,4355,1.95,14.25,1617,2.86,63313.0,194,569,40.13,23666,12356,8263,19146,4520,25998.0,306,2020-01-01,4038,9210,2674,1851.29
San Isidro,2020,0.0,33,190.0,205.0,8.18,5183,1.04,19.29,2990,2.58,62230.0,447,1586,43.89,38957,20761,15099,31229,7728,26487.0,355,2020-01-01,7092,15900,6226,2211.32
San Juan Bautista,2020,0.0,7,101.0,124.0,7.87,1945,0.43,21.53,386,2.57,170964.0,127,469,44.19,12487,6677,4867,11294,1192,57429.0,172,2020-01-01,607,2204,4623,4106.55
San Pascual,2020,9343736.33,9,105.0,172.0,7.85,2283,0.34,26.16,758,2.41,118816.0,244,967,47.33,18130,9976,7529,16663,1467,43133.0,196,2020-01-01,2005,6324,5045,4139.15
Santa Eugenia,2020,0.0,3,208.0,117.0,6.42,2847,0.14,21.26,1459,2.72,67117.0,223,753,45.53,24328,12636,8937,21818,2510,36865.0,176,2020-01-01,3150,10371,4783,2091.94
Simancas,2020,0.0,26,228.0,123.0,8.59,4361,2.45,15.92,1644,2.57,79100.0,287,1090,42.5,27918,14776,10877,23213,4705,22504.0,367,2020-01-01,2969,5540,2614,2504.9
Sol,2020,0.0,434,45.0,165.0,6.05,512,1.87,17.05,368,1.97,198049.0,149,263,44.61,7337,3588,3725,5329,2008,31684.0,55,2020-01-01,521,1836,1378,5293.1
Timón,2020,0.0,12,509.0,24.0,12.68,2599,5.29,10.2,527,2.67,127218.0,70,185,37.77,12388,6472,4634,11158,1230,41636.0,248,2020-01-01,903,4473,3532,3106.26
Trafalgar,2020,0.0,76,61.0,404.0,7.72,2564,0.7,21.23,890,2.11,141768.0,393,1293,45.37,24696,13738,11718,21412,3284,42777.0,199,2020-01-01,424,6879,12164,5516.8
Universidad,2020,0.0,608,95.0,335.0,6.8,2549,2.64,16.29,1599,1.96,124526.0,494,1231,43.98,31725,16158,16189,24880,6845,31866.0,242,2020-01-01,2337,10676,15222,5998.24
Valdeacederas,2020,0.0,18,116.0,224.0,10.82,3412,1.74,14.55,1493,2.45,75136.0,248,803,41.77,26021,13939,10607,20120,5901,28694.0,233,2020-01-01,3484,8302,6056,3049.99
Valdebernardo,2020,0.0,0,256.0,69.0,4.37,2547,0.01,10.94,1247,2.89,97393.0,95,247,41.21,17638,9250,6103,16558,1080,39389.0,153,2020-01-01,1605,6760,4126,2517.6
Valdefuentes,2020,1462136.3,31,1676.0,35.0,17.1,15808,6.39,7.31,1918,2.9,183790.0,205,420,34.31,57879,29531,19945,52358,5521,53810.0,1225,2020-01-01,1690,12978,23730,3487.54
Valdemarín,2020,0.0,1,330.0,20.0,10.84,1856,2.5,11.09,137,3.52,335899.0,38,49,36.32,6726,3617,1913,6099,627,88035.0,124,2020-01-01,225,1011,3033,4806.85
Valderrivas,2020,0.0,0,64.0,282.0,7.21,5312,-0.21,5.58,667,2.88,99183.0,53,114,34.79,18142,9248,6304,17493,649,40053.0,393,2020-01-01,712,3416,4709,2658.79
Valdezarza,2020,0.0,15,140.0,213.0,8.18,3722,1.03,24.92,1340,2.43,100214.0,370,1489,46.34,29722,16085,12207,26393,3329,35550.0,322,2020-01-01,3780,6164,8346,3187.92
Vallehermoso,2020,0.0,10,107.0,189.0,7.7,2329,0.85,27.76,518,2.41,213942.0,270,1093,47.81,20217,11525,8383,18722,1495,58449.0,131,2020-01-01,758,5055,9307,4739.14
