E. Edificación y Vivienda;;;;;;
Mercado de la vivienda;;;;;;
Compra-Venta de Viviendas;;;;;;
Estadística registral inmobiliaria: datos anuales por distritos;;;;;;
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda;;;;;;
;;2019;2020;2021;2022;2023
;;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2
;;Total;Total;Total;Total;Total
18. Villa de Vallecas;181. Casco Histórico de Vallecas;2.073,53;1.975,60;1.919,04;2.249,42;2.091,64
18. Villa de Vallecas;182. Santa Eugenia;2.091,94;2.110,49;2.097,05;2.329,55;2.222,32
18. Villa de Vallecas;183. Ensanche de Vallecas;2.331,86;2.841,85;2.709,91;2.980,25;3.197,51
19. Vicálvaro;19. Vicálvaro;1.919,73;2.265,78;2.410,25;2.604,57;2.819,81
19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.140,71;2.211,77;2.283,62;2.441,88;2.740,64
19. Vicálvaro;192. Valdebernardo;2.517,60;2.620,36;2.700,81;2.583,79;2.504,12
19. Vicálvaro;193. Valderrivas;2.658,79;3.018,37;2.782,31;3.345,94;3.500,64
19. Vicálvaro;194. El Cañaveral;1.672,79;2.147,81;2.412,27;2.608,58;2.819,96
20. San Blas-Canillejas;20. San Blas-Canillejas;2.270,33;2.601,53;2.756,64;2.739,57;2.649,18
20. San Blas-Canillejas;201. Simancas;2.504,90;2.553,12;2.555,44;2.849,47;2.829
20. San Blas-Canillejas;202. Hellín;1.593,70;1.699,42;1.749,24;1.876,12;1.965,71
20. San Blas-Canillejas;203. Amposta;1.690,79;1.799,06;1.740,28;1.833,19;1.863,48
20. San Blas-Canillejas;204. Arcos;2.041,64;2.806,11;3.224,91;2.465,83;2.239,88
20. San Blas-Canillejas;205. Rosas;3.448,63;3.499,95;3.350,60;4.245,07;3.700,37
20. San Blas-Canillejas;206. Rejas;1.816,06;2.657,17;2.971,39;3.040,61;2.959,07
20. San Blas-Canillejas;207. Canillejas;2.367,47;2.417,52;2.369,55;2.485,67;2.557,01
20. San Blas-Canillejas;208. El Salvador;3.396,79;3.192,05;3.860,72;3.921,23;3.745,67
21. Barajas;21. Barajas;3.049,82;3.084,26;3.334,23;3.445,86;3.596,72
21. Barajas;211. Alameda de Osuna;2.961,24;4.015,02;3.400,47;3.486,01;3.486,44
21. Barajas;212. Aeropuerto;0;0;0;0;0
21. Barajas;213. Casco Histórico de Barajas;2.978,60;2.697,80;3.077,10;3.202,44;3.285,62
21. Barajas;214. Timón;3.106,26;2.639,48;3.267,12;3.505,72;3.745,13
21. Barajas;215. Corralejos;3.613,80;3.660,35;3.581,79;3.673,50;4.119,66
;;;;;;
;;;;;;
Fuente: Colegio de Registradores de la Propiedad, Bienes Muebles y Mercantiles de España;;;;;;
"Observaciones: Tasa de cobertura:  La información recoge el 96,8% de las transmisiones del 2007; 97,6% del 2008; 98,1% del 2009; 95,4% del 2010; 97,9% del 2011; 97,5% del 2012; 97,5% del 2013; 96,4% del 2014; 96,1% del 2015; 97,3% del 2016; 97,1% del 2017; 98,0% del 2018; 98,4% del 2019; 95,3% del 2020; 95,6% del 2021 y 96,2% del 2022 (compraventas de viviendas con transmisión del 100% del dominio sobre la propiedad) y de las constituciones de hipotecas recogidas por los Registros de la Propiedad y las referidas al municipio de Madrid. En 2017 cambia de nombre el barrio de San Andrés por Casco histórico de Villaverde; en Villa de Vallecas se crea el barrio de Ensanche de Vallecas y en Vicálvaro se reestructuran los barrios. Para evitar ofrecer datos poco significativos, sólo se muestra información por barrio cuando se dispone de un número mínimo de 15 casos para calcular la media; sin embargo el dato de distrito siempre recoge todos los casos";;;;;;
