;;;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;Bachiller elemental, Graduado escolar, E.S.O.;Formación profesional 1er grado;Formación profesional 2º grado;Bachiller superior, B.U.P.;Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;Licenciado universitario, Arquitecto o Ingeniero;Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2020;05. Chamartín;056. Castilla;13.442;26;184;631;1.403;222;326;2.004;257;936;324;5.202;107;1.793;27;6.016;11;41;169;494;102;181;848;69;268;250;2.590;59;926;8;7.426;15;143;462;909;120;145;1.156;188;668;74;2.612;48;867;19
1 de enero de 2020;06. Tetuán;06. Tetuán;129.351;466;4.101;12.941;29.758;4.041;4.336;19.279;2.481;6.821;2.417;30.545;1.097;10.875;193;57.197;147;1.313;4.875;12.762;2.027;2.447;8.708;856;2.060;1.783;14.329;593;5.228;69;72.154;319;2.788;8.066;16.996;2.014;1.889;10.571;1.625;4.761;634;16.216;504;5.647;124
1 de enero de 2020;06. Tetuán;061. Bellas Vistas;23.724;51;727;2.498;6.210;724;776;3.689;446;1.238;421;4.920;194;1.796;34;10.516;18;242;937;2.676;352;438;1.693;175;369;313;2.309;106;872;16;13.208;33;485;1.561;3.534;372;338;1.996;271;869;108;2.611;88;924;18
1 de enero de 2020;06. Tetuán;062. Cuatro Caminos;28.862;65;523;1.799;4.923;592;751;4.185;527;1.746;587;9.421;262;3.407;74;12.618;30;142;580;1.898;300;401;1.831;163;525;430;4.528;146;1.623;21;16.244;35;381;1.219;3.025;292;350;2.354;364;1.221;157;4.893;116;1.784;53
1 de enero de 2020;06. Tetuán;063. Castillejos;17.423;32;318;1.084;2.768;356;443;2.660;325;1.072;385;5.747;160;2.048;25;7.676;10;79;354;1.044;177;259;1.108;96;332;299;2.811;88;1.011;8;9.747;22;239;730;1.724;179;184;1.552;229;740;86;2.936;72;1.037;17
1 de enero de 2020;06. Tetuán;064. Almenara;18.139;147;958;2.609;4.477;785;688;2.456;352;808;320;3.222;151;1.156;10;8.062;43;306;1.016;2.037;394;387;1.126;116;249;227;1.503;81;571;6;10.077;104;652;1.593;2.440;391;301;1.330;236;559;93;1.719;70;585;4
1 de enero de 2020;06. Tetuán;065. Valdeacederas;20.844;116;888;2.596;5.765;853;878;3.078;428;970;365;3.534;164;1.187;22;9.467;25;311;1.109;2.680;436;515;1.472;164;304;254;1.544;85;558;10;11.377;91;577;1.487;3.085;417;363;1.606;264;666;111;1.990;79;629;12
1 de enero de 2020;06. Tetuán;066. Berruguete;20.359;55;687;2.355;5.615;731;800;3.211;403;987;339;3.701;166;1.281;28;8.858;21;233;879;2.427;368;447;1.478;142;281;260;1.634;87;593;8;11.501;34;454;1.476;3.188;363;353;1.733;261;706;79;2.067;79;688;20
1 de enero de 2020;07. Chamberí;07. Chamberí;115.121;158;1.589;5.803;14.777;2.025;2.443;16.686;1.959;7.590;2.126;42.225;1.132;16.450;158;49.425;55;407;1.715;5.378;918;1.322;7.070;680;2.182;1.590;19.665;617;7.769;57;65.696;103;1.182;4.088;9.399;1.107;1.121;9.616;1.279;5.408;536;22.560;515;8.681;101
1 de enero de 2020;07. Chamberí;071. Gaztambide;19.239;25;285;1.039;2.544;326;410;2.774;318;1.269;359;6.845;185;2.835;25;8.265;7;76;314;907;144;233;1.209;114;380;265;3.168;97;1.340;11;10.974;18;209;725;1.637;182;177;1.565;204;889;94;3.677;88;1.495;14
1 de enero de 2020;07. Chamberí;072. Arapiles;20.275;25;353;1.226;2.797;395;491;2.986;333;1.245;404;6.981;193;2.823;23;8.763;5;81;384;1.076;196;277;1.356;126;361;308;3.199;120;1.265;9;11.512;20;272;842;1.721;199;214;1.630;207;884;96;3.782;73;1.558;14
1 de enero de 2020;07. Chamberí;073. Trafalgar;20.771;31;310;1.140;2.627;408;485;2.991;368;1.341;375;7.527;221;2.921;26;9.057;9;84;363;1.028;190;275;1.341;149;444;293;3.460;108;1.305;8;11.714;22;226;777;1.599;218;210;1.650;219;897;82;4.067;113;1.616;18
1 de enero de 2020;07. Chamberí;074. Almagro;15.932;18;173;653;2.054;247;244;2.347;319;1.112;219;6.109;157;2.244;36;6.907;10;44;188;706;95;109;906;86;289;166;3.016;83;1.199;10;9.025;8;129;465;1.348;152;135;1.441;233;823;53;3.093;74;1.045;26
1 de enero de 2020;07. Chamberí;075. Ríos Rosas;22.472;36;336;1.119;2.943;420;497;3.147;364;1.393;445;8.348;218;3.182;24;9.605;15;82;310;1.083;182;270;1.330;136;409;325;3.869;121;1.464;9;12.867;21;254;809;1.860;238;227;1.817;228;984;120;4.479;97;1.718;15
1 de enero de 2020;07. Chamberí;076. Vallehermoso;16.432;23;132;626;1.812;229;316;2.441;257;1.230;324;6.415;158;2.445;24;6.828;9;40;156;578;111;158;928;69;299;233;2.953;88;1.196;10;9.604;14;92;470;1.234;118;158;1.513;188;931;91;3.462;70;1.249;14
1 de enero de 2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;185.680;604;5.561;15.687;31.944;6.118;7.053;27.587;3.559;12.909;4.690;52.050;1.460;16.333;125;84.942;172;1.791;5.706;13.876;3.141;4.137;13.336;1.311;4.028;3.652;25.150;800;7.787;55;100.738;432;3.770;9.981;18.068;2.977;2.916;14.251;2.248;8.881;1.038;26.900;660;8.546;70
1 de enero de 2020;08. Fuencarral-El Pardo;081. El Pardo;2.823;10;135;392;749;97;119;568;56;155;29;389;16;108;0;1.381;4;35;128;397;57;76;339;31;48;22;182;9;53;0;1.442;6;100;264;352;40;43;229;25;107;7;207;7;55;0
1 de enero de 2020;08. Fuencarral-El Pardo;082. Fuentelarreina;2.412;5;25;78;249;29;23;368;50;143;36;1.035;17;352;2;1.046;2;8;21;55;12;12;112;11;43;31;535;10;193;1;1.366;3;17;57;194;17;11;256;39;100;5;500;7;159;1
1 de enero de 2020;08. Fuencarral-El Pardo;083. Peñagrande;35.441;127;1.296;3.543;7.022;1.389;1.418;5.595;574;2.357;927;8.330;210;2.637;16;16.099;35;440;1.303;3.010;738;873;2.721;208;708;743;3.946;108;1.256;10;19.342;92;856;2.240;4.012;651;545;2.874;366;1.649;184;4.384;102;1.381;6
1 de enero de 2020;08. Fuencarral-El Pardo;084. Pilar;38.717;146;1.784;5.140;9.121;1.701;1.712;5.845;666;2.330;723;7.109;228;2.175;37;17.214;37;561;1.890;4.108;894;983;2.829;248;710;569;3.273;122;975;15;21.503;109;1.223;3.250;5.013;807;729;3.016;418;1.620;154;3.836;106;1.200;22
1 de enero de 2020;08. Fuencarral-El Pardo;085. La Paz;27.630;32;414;1.817;3.978;685;880;4.610;402;2.348;908;8.450;206;2.882;18;12.693;12;123;589;1.464;327;548;2.142;136;740;751;4.337;130;1.390;4;14.937;20;291;1.228;2.514;358;332;2.468;266;1.608;157;4.113;76;1.492;14
1 de enero de 2020;08. Fuencarral-El Pardo;086. Valverde;44.317;167;1.370;3.425;7.834;1.511;1.820;6.092;1.117;2.955;1.156;12.788;441;3.612;29;20.422;41;470;1.348;3.575;764;1.032;3.000;436;982;839;6.031;232;1.662;10;23.895;126;900;2.077;4.259;747;788;3.092;681;1.973;317;6.757;209;1.950;19
