Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado ;Importe 2024;Importe 2025;Importe 2026;Importe 2027;Resto Anualidades;Total previsto;Estado;Observaciones;Url_fotografia;Fecha de los datos;;;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/003051;CARRIL BICI SEGREGADO AV.DE LA GRAN VÍA DE SAN FRANCISCO Y GLORIETA PUERTA DE TOLEDO (ID 21: 18424);2024;2024;;201;CENTRO;Av.Gran Vía de San Francisco 9;AVENIDA; DE LA GRAN VÍA DE SAN FRANCISCO;9;40.4096622;-3.7137001;07;INFRAESTRUCTURAS;;1340000,00;;;;;1340000,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2019/003546;PARQUE DEL PARAÍSO. OBRAS DE ADECUACIÓN Y MEJORA (ID 18: 409);2019;2024;;220;SAN BLAS-CANILLEJAS;AVDA DE ARCENTALES CV C/ ALBAIDA;AVENIDA;DE ARCENTALES C/V C/DE ALBAIDA;;40.4304794;-3.6216456;09;MEDIO AMBIENTE;767096,23;2076214,00;;;;;2843310,23;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2023/001138;COLECTORES DE VICÁLVARO B Y LA DEHESA. OBRAS DE CONEXIÓN;2023;2024;;219;VICÁLVARO;Coord. (x,y) = (450903.91 , 4470793.37);;;;40.3862875;-3.5784381;09;MEDIO AMBIENTE;48618,67;1273366,00;;;;;1321984,67;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2023/003031;ZONAS VERDES ENSANCHE DE VALLECAS. CAMINOS, ZONAS ESTANCIALES Y OTRAS MEJORAS(ID 21: 17461);2024;2025;;218;VILLA DE VALLECAS;AV DE LAS SUERTES, 310-6;AVENIDA;DE LAS SUERTES;310-6;40.3651087;-3.5968636;09;MEDIO AMBIENTE;;25000,00;1500000,00;;;;1525000,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2023/003032;ZONA FORESTAL MONTECARMELO: M-607 KM.13-GTA.VENTISQUERO DE LA CONDESA.REHABILITACIÓN (ID 21: 17548);2024;2025;;208;FUENCARRAL-EL PARDO;C. PAU ARROYO DEL FRESNO-AV DEL SANTUARIO DE VALVERDE, 83-85;AVENIDA;DEL SANTUARIO DE VALVERDE;83-85;40.5070759;-3.7077138;09;MEDIO AMBIENTE;;22000,00;1000000,00;;;;1022000,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2023/003036;ZONA VERDE EN EL BARRIO DE REJAS. OBRAS DE ACONDICIONAMIENTO (ID 21: 17683);2024;2025;;220;SAN BLAS-CANILLEJAS;CALLE DE FUENCEMILLÁN 41-57;CALLE;DE FUENCEMILLÁN 41-57;41-57;40.4439911;-3.5718752;09;MEDIO AMBIENTE;;20000,00;1000000,00;;;;1020000,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/000216;PARQUE DE CANILLEJAS. OBRAS DE REFORMA INTEGRAL;2024;2025;;220;SAN BLAS-CANILLEJAS;CALLE DE CIRCE 57;CALLE;DE CIRCE;57;40.4423525;-3.6107376;09;MEDIO AMBIENTE;;20000,00;1010000,00;;;;1030000,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/000218;PARQUE DE  AYERBE EN EL CASCO HISTÓRICO DE BARAJAS. OBRAS DE REHABILITACION;2024;2025;;221;BARAJAS;CALLE DE AYERBE 17-11;CALLE;DE AYERBE;17-11;40.4708223;-3.5777749;09;MEDIO AMBIENTE;;20000,00;1630000,00;;;;1650000,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/000227;ALIVIADEROS DE LOS ESTANQUES DE TORMENTAS DE ABROÑIGALES Y LA GAVIA. ADECUACIÓN Y ACONDICIONAMIENTO;2024;2025;;218;VILLA DE VALLECAS;MARGEN IZQUIER DA  DEL RIO.A-COORD. (X,Y) = (443147.97 , 4466737.09);;;;40.3492529;-3.6694496;09;MEDIO AMBIENTE;;1000000,00;2300000,00;;;;3300000,00;EN PROCESO;;;06/02/2024;;;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2024/000228;MARGEN IZQUIERDA DEL RÍO MANZANARES A LA ALTURA DE LA C/ADELINA PATTI. OBRAS DE REGENERACIÓN;2024;2025;;208;FUENCARRAL-EL PARDO;CALLE DE ADELINA PATTI;CALLE ;DE ADELINA PATTI;;40.5237273;-3.7805961;09;MEDIO AMBIENTE;;140000,00;1500000,00;;;;1640000,00;EN PROCESO;;;06/02/2024;;;;
