Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado;Importe 2021;Importe 2022;Importe 2023;Importe 2024;Resto Anualidades;Total previsto;Estado;Observaciones;Url_Fotografia;Fecha de los datos
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000263;UNIDAD INTEGRAL DE POLICÍA MUNICIPAL CIUDAD LINEAL. CONSTRUCCIÓN;2020;2022;;215;CIUDAD LINEAL;Calle Peloponeso, 9;Calle;Peloponeso;9;'40.414833443959600;'-3.6269933408281800;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;53562,66;2218042;2791909;;;;5063513,66;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/007069;BASE DEL SAMUR EN CIUDAD LINEAL, C/ PELOPONESO, 9. CONSTRUCCIÓN;2020;2021;;215;CIUDAD LINEAL;Calle Peloponeso, 9;Calle;Peloponeso;9;'40.4152664;'-3.6266822;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;58294,6;1700618;;;;;1758912,6;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;160;DESARROLLO URBANO;2021/000440;CUÑA NORTE DE O´DONELL. EJECUCIÓN DE BOSQUE METROPOLITANO;2021;2021;;215;CIUDAD LINEAL;CUÑA NORTE DE O´DONELL;;CUÑA NORTE DE O´DONELL;;'40.4156699;'-3.62947201;6;URBANISMO;;2000000;;;;;2000000;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2017/000242;PARQUE CUÑA VERDE O'DONNELL. AMPLIACIÓN;2018;2021;2021;214;MORATALAZ;Calle José Bergamín C/v Calle Fuente Carrantona;Calle;José Bergamín C/v Calle Fuente Carrantona. ;;'40.41143;'-3.63045;9;MEDIO AMBIENTE;3900728,6;750908;;;;;4651636,6;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2021/2021_2017-000242_ODonnell..JPG;14/02/2022
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2016/000833;PARQUE DE LA GAVIA, DISTRITO VILLA DE VALLECAS. OBRAS DE REHABILITACIÓN;2017;2021;2021;218;VILLA DE VALLECAS;Avenida Del Mayorazgo, 24;Avenida del;Mayorazgo;24;'40.3687473;'-3.6318531;9;MEDIO AMBIENTE;10505694,59;7930281;;;;;18435975,59;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2021/2021_2016-000833_LaGavia.jpg;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;14;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 4;2018;2021;2021;218;VILLA DE VALLECAS;Contrucción Calle Castejon De Henares;Calle;Castejon De Henares;;'40.373504238211900;'-3.633166887789960;15;VIVENDA;4403868,61;5615771,01;0;0;0;0;10019639,62;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2021/2021_14_LaRosilla.jpg;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;25;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 3;2019;2022;;218;VILLA DE VALLECAS;Contrucción Calle Castejon De Henares;Calle;Castejon De Henares;;'40.374148939335800;'-3.63320586229997;15;VIVENDA;223503,01;4916911,48;6760753,29;0;0;0;11901167,78;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;23;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 1;2019;2023;;218;VILLA DE VALLECAS;Contrucción Calle El Sitio De Baler Nº 1 A 11 Y Crta. Villaverde A Vallecas Nº 290;;;;'40.374018500360700;'-3.635026476527200;15;VIVENDA;467015,82;4660916,13;7214211,41;1800000;0;0;14142143,36;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;24;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN LA ROSILLA 2;2019;2022;;218;VILLA DE VALLECAS;Contrucción Calle De Nueva Creacion;;;;'40.37351413395200;'-3.635163450630150;15;VIVENDA;268009,04;4508981,82;6199850,01;0;0;0;10976840,87;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000388;BASE SAMUR C/ AREQUIPA, 4. CONSTRUCCIÓN;2020;2021;;216;HORTALEZA;Calle Arequipa, 4;Calle;Arequipa;4;'40.4689358;'-3.6438566;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;45678,83;1471581;;;;;1517259,83;EN PROCESO;;;14/02/2022
708;EMPRESA MUNICIPAL DE SERVICIOS FUNERARIOS Y CEMENTERIOS, S.A.;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2020/EMSFMC/02;ACTUACIONES EN CEMENTERIO DE LA ALMUDENA;2020;2024;;215;CIUDAD LINEAL;Avenida De Daroca, 90 28017 Madrid;Avenida de;Daroca;90;'40.4254386;'-3.6490277;4;SALUD PÚBLICA;129231,16;1633241;971100;0;0;0;2733572,16;EN PROCESO;;;14/02/2022
1;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2018/008294;ESCUELA INFANTIL EN CANILLEJAS. CONSTRUCCIÓN (ID 18: 539);2019;2022;;220;SAN BLAS-CANILLEJAS;Calle josefa Valcarcel, 21 (junto Intercambiador Canillejas);Calle;Josefa Valcarcel;21;'40.448555;'-3.6491725;5;EDUCACIÓN;52140,83;150000;2850000;;;;3052140,83;EN PROCESO;;;14/02/2022
