Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado ;Importe 2023 (quito formato punto);Importe 2024;Importe 2025;Importe 2026;Resto Anualidades;Total previsto;Estado;Observaciones;Url_fotografia;Fecha de los datos
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/001621;ANTIGUA PASARELA MANTEROLA. RECONSTRUCCIÓN E INSTALACIÓN SOBRE RÍO MANZANARES EN AV. ARCENTALES;2023;2024;;220;SAN BLAS-CANILLEJAS;Avenida de Arcentales ;AVENIDA;DE ARCENTALES;;404.330.452;-36.009.783;07;INFRAESTRUCTURAS;;52878,4;4000000;;;;4052878,4;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/000311;APARCAMIENTO EN PASEO ARTILLEROS S/N, DISTRITO DE VICÁLVARO. CONSTRUCCIÓN;2023;2023;;219;VICÁLVARO;Paseo de los Artilleros s/n. Semiesquina calle San Cipriano;PASEO ;DE LOS ARTILLEROS;S/N;404.046.979;-36.091.733;07;INFRAESTRUCTURAS;;2710000;;;;;2710000;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001006;CAMPUS SUR UNIVERSIDAD POLITÉCNICA DE MADRID Y ENTORNOS ESCOLARES VALLECAS. ZONAS DE BAJAS EMISIONES;2023;2024;;213 (70%) - 218 (30%);PUENTE DE VALLECAS - VILLA DE VALLECAS;Avenida del Campus Sur (recinto universitario);AVENIDA;DEL CAMPUS SUR;;40.387.788;-36.308.581;07;INFRAESTRUCTURAS;;442239;13096637;;;;13538876;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001007;PLATAFORMA AUTOBÚS DE TRÁNSITO PRIORITARIO VALDEBEBAS - HOSPITAL RAMÓN Y CAJAL. CONSTRUCCIÓN;2023;2023;;208 (20%) - 216 (80%);FUENCARRAL-EL PARDO - HORTALEZA;Avenida Francisco Pi y Margall, 6;AVENIDA;DE FRANCISCO PI Y MARGALL;6;404.902.184;-36.585.492;07;INFRAESTRUCTURAS;;12940771;;;;;12940771;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/003051;CARRIL BICI SEGREGADO AV.DE LA GRAN VÍA DE SAN FRANCISCO Y GLORIETA PUERTA DE TOLEDO (ID 21: 18424);2023;2024;;201;CENTRO;Av.Gran Vía de San Francisco 9;AVENIDA; DE LA GRAN VÍA DE SAN FRANCISCO;9;404.096.622;-37.137.001;07;INFRAESTRUCTURAS;;;1340000;;;;1340000;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2006/000375;SISTEMAS DE COMPENSACIÓN. UZP 2-04 LOS BERROCALES;2008;2023;;219;VICÁLVARO;LOS BERROCALES;;LOS BERROCALES;;403.772.222;-3.579.722.222.222.220;06;URBANISMO;14137158,83;5391504,97;;;;;19528663,8;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2009/000488;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;2010;2023;;219;VICÁLVARO;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;;DESARROLLO DEL ESTE LOS AHIJONES;;403.879.964;-356.225.647;06;URBANISMO;9654047,1;1145858;;;;;10799905,1;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2010/000393;SUELO URBANIZABLE PROGRAMADO 3.01 DESARROLLO DEL ESTE VALDECARROS;2010;2023;;218;VILLA DE VALLECAS;PAU Valdecarros;;PAU Valdecarros;;4.034.915.068.793.720;-36.292.232.757.681.000;06;URBANISMO;10443642,22;2352633,09;;;;;12796275,31;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2020/007074;ÁMBITO CAMPO DE LAS NACIONES. EJECUCIÓN DEL BOSQUE METROPOLITANO;2020;2023;2023;216;HORTALEZA;CAMPO DE LAS NACIONES;;CAMPO DE LAS NACIONES;;4.047.025.271;-362.537.866;06;URBANISMO;3406565,4;;;;;;3406565,4;FINALIZADO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2023/2023_2020-007074_CampoNacionesBosque.jpg;05/01/2024
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2020/007076;ANILLO VERDE DE VILLAVERDE. EJECUCIÓN BOSQUE METROPOLITANO;2021;2024;;217;VILLAVERDE;ANILLO VERDE DE VILLAVERDE;;ANILLO VERDE DE VILLAVERDE;;4.036.002.547;-371.601.781;06;URBANISMO;4800119,51;2068958,85;1300000;;;;8169078,36;EN PROCESO;Presupuesto 2022 Prorrogado, Importe 2023 es el Crédito Definitivo a 31.12.2023;;05/01/2024
