Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado;Importe 2022;Importe 2023;Importe 2024;Importe 2025;Resto Anualidades;Total previsto;Estado;Observaciones;Url_fotografia;Fecha de los datos
1;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2020/000043;CASA DE VARGAS. REHABILITACIÓN CASA-PALACIO Y JARDÍN DE FELIPE II;2020;2023;;209;MONCLOA-ARAVACA;PASEO DEL EMBARCADERO, 2;PASEO DEL;DEL EMBARCADERO;2;404.191.125;-37.256.439;10;CULTURA;59.483,19;570000;2600000;;;;3.229.483,19;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2020/000419;PABELLÓN DE HEXÁGONOS CASA DE CAMPO. REHABILITACIÓN;2022;2023;;209;MONCLOA-ARAVACA;CALLE DE LOS HEXÁGONOS, 4;CALLE;DE LOS HEXÁGONOS;4;404.126.577;-37.442.902;10;CULTURA;;254152;500000;;;;754.152,00;EN PROCESO;Continúa Ejecución en 2023 gestionada por el Ayuntamiento de Madrid, A.G. de Turismo, Cultura y Deporte;;23/02/2023
1;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2021/000053;NAVE 15 MATADERO. OBRAS DE ACONDICIONAMIENTO;2022;2023;;202;ARGANZUELA;PLAZA DE LEGAZPI, 8;PLAZA;DE LEGAZPI;8;403.917.614.508.368;-36.963.276.163.896.600;10;CULTURA;;160000;1600000;;;;1.760.000,00;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2022/000541;MUSEO ARTE CONTEMPORÁNEO EN CONDE DUQUE. ACONDICIONAMIENTO NUEVAS SALAS;2022;2022;;201;CENTRO;CALLE DEL CONDE DUQUE, 9;CALLE;DEL CONDE DUQUE;9;4.042.741.912.138.540;-37.107.288.317.298.100;10;CULTURA;;1000000;;;;;1.000.000,00;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;131;DEPORTE;2019/003146;UNIDADES DEPORTIVAS PARA LA PRÁCTICA DEL RUGBY EN VILLA DE VALLECAS. CONSTRUCCIÓN;2021;2022;2022;218;VILLA DE VALLECAS;CALLE EDUARDO CHILLIDA C/V CALLE ARTE HIPERREALISTA;CALLE;EDUARDO CHILLIDA C/V CALLE ARTE HIPERREALISTA;;403.597.278;-35.890.154;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;2.373.984,67;613000;;;;;2.986.984,67;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2019-003146_RUGBY_VILLA_VALLECAS.jpg;23/02/2023
1;AYUNTAMIENTO;131;DEPORTE;2021/001117;DEPORTIVO BÁSICO LOS POBLADOS. ACONDICIONAMIENTO CAMPO DE FÚTBOL Y VESTUARIOS;2022;2022;;211;CARABANCHEL;AV.DE LOS POBLADOS,106;AVENIDA;DE LOS POBLADOS;106;4.037.376.874.611.190;-3.735.160.474.061.030;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;;1490000;;;;;1.490.000,00;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;2016;2023;;219;VICÁLVARO;INICIO DEL CAUCE DEL ARROYO EN ÁMBITO UZPP 2.04 LOS BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;4.037.320.354.825.460;-35.599.462.399.323.700;9;MEDIO AMBIENTE;109.768,77;400000;3300000;;;;3.809.768,77;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2017/000249;PARQUE DEL RETIRO. ACTUACIONES DE REHABILITACIÓN;2017;2023;;203;RETIRO;PLAZA  INDEPENDENCIA, 7 ;PLAZA;DE LA INDEPENDENCIA;7;40.419.683.887.311.000;-36.879.969.384.116.700;9;MEDIO AMBIENTE;21.417,00;400000;1600000;;;;2.021.417,00;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000344;NUEVA PLANTA DE MATERIA ORGÁNICA EN EL PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;2022;2023;;218;VILLA DE VALLECAS;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;;CASCO HISTÓRICO DE VALLECAS;;40.336.444;-3.577.083;9;MEDIO AMBIENTE;;18146775;13849313,66;;;;31.996.088,66;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000374;ENSANCHE DE VALLECAS. ACONDICIONAMIENTO DE CAMINOS Y ZONAS ESTANCIALES;2019;2022;2022;218;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;ENSANCHE DE;ENSANCHE DE VALLECAS;;40.365.205.725.985.500;-3.594.149.223.122.840;9;MEDIO AMBIENTE;1.867.152,72;323794;;;;;2.190.946,72;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2019-000374_ENSANCHE_VALLECAS._CAMINOS_Y_Z.ESTANCIAL.jpg;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000544;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE REJAS. OBRAS ADECUACIÓN Y MEJORA;2020;2026;;221;BARAJAS;CAMINO DE LA MUÑOZA;CAMINO;DE LA MUÑOZA;;40.451.781.227.823.200;-3.535.458.209.657.420;9;MEDIO AMBIENTE;58.320,20;1206920;17000000;17000000;17000000;19038163,52;71.303.403,72;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000545;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE VALDEBEBAS. OBRAS DE ADECUACIÓN Y MEJORA;2020;2026;;221;BARAJAS;CARRETERA ANTIGUA DE PARACUELLOS DE JARAMA, 44;CARRETERA;ANTIGUA DE PARACUELLOS DE JARAMA;44;404.944.431;-35.501.484;9;MEDIO AMBIENTE;53.753,12;1873014;20390000;20390000;20390000;6841340,92;69.938.108,04;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000666;COLECTOR VICÁLVARO A, SECTOR LOS AHIJONES. CONSTRUCCIÓN;2019;2022;;219;VICÁLVARO;ÁMBITO UZPP 2.03 LOS AHIJONES Y ÁMBITO UZPP 2.04 LOS BERROCALES;;ÁMBITO UZPP 2.03 LOS AHIJONES Y ÁMBITO UZPP 2.04 LOS BERROCALES;;4.038.058.555.358.560;-35.665.939.694.949.200;9;MEDIO AMBIENTE;235.646,04;13676518;;;;;13.912.164,04;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/003546;PARQUE DEL PARAÍSO. OBRAS DE ADECUACIÓN Y MEJORA (ID 18: 409);2020;2022;2022;220;SAN BLAS-CANILLEJAS;AVENIDA DE ARCENTALES C/V CALLE ALBAIDA;AVENIDA DE;DE ARCENTALES C/V CALLE ALBAIDA;;40.434.248;-3.612.367;9;MEDIO AMBIENTE;247.968,52;499837;;;;;747.805,52;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2019-003546_PARQUE_DEL_PARAISO.jpg;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/004321;DEPURADORA DE BUTARQUE CONSOLIDACIÓN DE LOS TERRENOS;2020;2023;;217;VILLAVERDE;AVENIDA DE LOS ROSALES, 399  ;AVENIDA;DE LOS ROSALES;399;40.334.267.204.235.600;-36.637.888.028.978.500;9;MEDIO AMBIENTE;60.441,94;220000;3280000;;;;3.560.441,94;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/004325;PARQUE GARRIGUES WALKER.REHABILITACION Y ORDENACION DE USOS;2021;2022;2022;213;PUENTE DE VALLECAS;RONDA DEL SUR 10   C/V AVDA JOAQUIN GARRIGUIES WALKER ;RONDA;SUR C/V AVDA JOAQUIN GARRIGUIES WALKER;10;4.037.549.439;-367.140.488;9;MEDIO AMBIENTE;138.558,90;1190687;;;;;1.329.245,90;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2019-004325_PARQUE_GARRIGUES_WALKER.jpg;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2020/000278;OBRAS EJECUCIÓN NUDO NORTE M-30 MADRID;2020;2023;2022;"205 (30%) - 
208 (70%)";FUENCARRAL-EL PARDO - CHAMARTÍN;ENTRE AVENIDA DE LA ILUSTRACIÓN Y NUDO DE MANOTERAS, TRAMO DESDE EL PK 30+300 HASTA EL 32+200;;ENTRE AVENIDA DE LA ILUSTRACIÓN Y NUDO DE MANOTERAS, TRAMO DESDE EL PK 30+300 HASTA EL 32+200;;404.833.757.449.582;-36.813.940.831.152.700;7;INFRAESTRUCTURAS;20.692.763,99;24900000;4200000;;;;49.792.763,99;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2020-000278_EJECUCION_NUDO_NORTE_MADRID.jpg;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2020/000323;COLECTOR EN C/ EDUARDO BARREIROS. CONSTRUCCIÓN;2020;2022;2022;217;VILLAVERDE;CALLE EDUARDO BARREIROS;CALLE;EDUARDO BARREIROS;;4.035.898.888.676.470;-3.702.677.103.983.560;9;MEDIO AMBIENTE;897.916,90;1280100;;;;;2.178.016,90;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2020-000323_COLECTOR_EDUARDO_BARREIROS.jpg;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2020/000429;ZONA VERDE ENTRE C/ REAL DE ARGANDA Y C/ PUENTELARRA. REMODELACIÓN;2020;2022;2022;218;VILLA DE VALLECAS;C/ REAL DE ARGANDA Y C/ PUENTELARRA;CALLE;REAL DE ARGANDA C/V C/ PUENTELARRA;;4.037.834.065.383.150;-3.609.308.108.517.030;9;MEDIO AMBIENTE;155.823,39;1229726;;;;;1.385.549,39;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2020-000429_ZONA_VERDE_C.REAL_ARGANDA-PUENTELARRA.jpg;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000001;CENTRO DE TRATAMIENTO  LAS DEHESAS. SISTEMAS DE DESODORIZACIÓN;2022;2022;;218;VILLA DE VALLECAS;CENTRO DE TRATAMIENTO  LAS DEHESAS;;CENTRO DE TRATAMIENTO  LAS DEHESAS;;4.033.552.477;-358.243.889;9;MEDIO AMBIENTE;;4911311;;;;;4.911.311,00;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000002;CENTRO DE TRATAMIENTO LA PALOMA. SISTEMAS DE DESODORIZACIÓN;2022;2024;;218;VILLA DE VALLECAS;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;;4.033.756.827;-35.755.459;9;MEDIO AMBIENTE;;5456003;;86298;;;5.542.301,00;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000347;"PARQUE DE LAS CRUCES, DISTRITO DE CARABANCHEL. REHABILITACIÓN (ID 19: 9283;11756)";2021;2022;;211;CARABANCHEL;AVENIDA POBLADOS C/V CALLE CONSUELO GUZMÁN C/V VIDAUBA;AVENIDA DE;LOS POBLADOS C/V CALLE CONSUELO GUZMÁN C/V VIDAUBA;;40.376.885;-3.753.343;9;MEDIO AMBIENTE;39.993,57;1918590;;;;;1.958.583,57;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000348;PARQUE DEL GASOMETRO, DISTRITO DE ARGANZUELA. REHABILITACIÓN;2021;2022;2022;202;ARGANZUELA;CALLE RONDA DE TOLEDO C/V CALLE GASÓMETRO;CALLE;RONDA DE TOLEDO C/V CALLE GASÓMETRO;;404.059.554;-37.102.481;9;MEDIO AMBIENTE;30.971,99;1210000;;;;;1.240.971,99;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2021-000348_PARQUE_DEL_GASOMETRO.jpg;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000349;PARQUE DE PRADOLONGO, DISTRITO DE USERA. REHABILITACIÓN Y AMPLIACIÓN;2021;2022;;212;USERA;AVENIDA DE LOS POBLADOS C/V CALLE DOCTOR TOLOSA LATOUR Y EDUARDO BARREIROS;AVENIDA DE;LOS POBLADOS C/V CALLE DOCTOR TOLOSA LATOUR Y EDUARDO BARREIROS;;40.371.319;-3.703.703;9;MEDIO AMBIENTE;30.971,99;1400000;;;;;1.430.971,99;EN PROCESO;;;23/02/2023
1;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000496;CARRIL BICI EJE PRADO-RECOLETOS-CASTELLANA TRAMO PLAZA CASTILLA-RAIMUNDO FERNANDEZ VILLAVERDE;2021;2023;;205 (50%) - 206 (50%);CHAMARTÍN - TETUÁN;"PASEO DE LA CASTELLANA, 112 AL 200, LADO PARES, DISTRITO DE CHAMARTÍN.
PASEO DE LA CASTELLANA, 71 AL 187, LADO IMPARES, DISTRITO DE TETUÁN.";PASEO;DE LA CASTELLANA;112 AL 200;4.044.689.407.084.400;-36.904.570.167.187.500;7;INFRAESTRUCTURAS;17.883,80;5900000;1500000;;;;7.417.883,80;EN PROCESO;;;23/02/2023
